time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
327,8.29592915550201e-07,1000,5224.26061558921,36390.5260070398,-999.9998,-0.000199999999999994,constant,linear,displacement,1,20
367,8.29592915579377e-07,1000,5224.26061558883,36390.5260070364,-999.999800000019,-0.000199999981868401,constant,linear,displacement,1,20
407,8.29592915597754e-07,1000,5224.26061558858,36390.5260070343,-999.999800000032,-0.000199999970293482,constant,linear,displacement,1,20
447,8.29592915604271e-07,1000,5224.2606155885,36390.5260070335,-999.999800000036,-0.000199999965929772,constant,linear,displacement,1,20
487,8.29592915598553e-07,1000,5224.26061558858,36390.5260070342,-999.999800000033,-0.000199999969015784,constant,linear,displacement,1,20
327,8.29592915550201e-07,1000,5224.26061558921,36390.5260070398,-999.9998,-0.000199999999999994,constant,linear,displacement,1,10
367,8.29592915579376e-07,1000,5224.26061558883,36390.5260070364,-999.999800000019,-0.000199999981868402,constant,linear,displacement,1,10
407,8.29592915597752e-07,1000,5224.26061558858,36390.5260070343,-999.999800000032,-0.000199999970293485,constant,linear,displacement,1,10
447,8.2959291560427e-07,1000,5224.2606155885,36390.5260070335,-999.999800000036,-0.000199999965929775,constant,linear,displacement,1,10
487,8.29592915598552e-07,1000,5224.26061558858,36390.5260070342,-999.999800000033,-0.000199999969015786,constant,linear,displacement,1,10
327,8.29592915550201e-07,1000,5224.26061558921,36390.5260070398,-999.9998,-0.000199999999999994,constant,linear,displacement,1,5
367,8.29592915579377e-07,1000,5224.26061558883,36390.5260070364,-999.999800000019,-0.000199999981868403,constant,linear,displacement,1,5
407,8.29592915597752e-07,1000,5224.26061558858,36390.5260070343,-999.999800000032,-0.000199999970293485,constant,linear,displacement,1,5
447,8.2959291560427e-07,1000,5224.2606155885,36390.5260070335,-999.999800000036,-0.000199999965929775,constant,linear,displacement,1,5
487,8.29592915598552e-07,1000,5224.26061558858,36390.5260070342,-999.999800000033,-0.000199999969015786,constant,linear,displacement,1,5
327,8.29592915550154e-07,1000,5224.26061558921,36390.5260070398,-999.9998,-0.000199999999999988,constant,linear,density,1,20
367,8.29592915579329e-07,1000,5224.26061558883,36390.5260070364,-999.999800000019,-0.000199999981868405,constant,linear,density,1,20
407,8.29592915597705e-07,1000,5224.26061558858,36390.5260070343,-999.999800000032,-0.000199999970293486,constant,linear,density,1,20
