deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
20,160,32,0,0.14121675,0.020515125,0.0303782083333333,0.196430625,3.42461984227568e-11,1.03058070007562e-12,2.58839431588387e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83516052445909e-17,0,-6.37555785942823e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929772,constant,linear,displacement,1,6.374612625
10,160,64,0,0.241340541666667,0.023782625,0.0389605,0.307995083333333,3.42459245789145e-11,1.03058070007562e-12,2.58821039158295e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83505464534068e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929775,constant,linear,displacement,1,6.374612625
5,160,128,0,0.415924791666667,0.01585775,0.0231073333333333,0.457806583333333,3.42462804714526e-11,1.03058070007562e-12,2.58815942008488e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83509699698804e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929775,constant,linear,displacement,1,6.374612625
20,160,32,0,0.128620083333333,0.017667625,0.02687275,0.176522458333333,3.42461979336027e-11,1.03058070007562e-12,2.58839432454074e-10,8.3459632940966e-17,6.78333718389188e-13,2.62930484071849e-18,8.29592915550154e-07,4.83512876072356e-17,0,-6.37555785942823e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929777,constant,linear,density,1,6.37365475
10,160,64,0,0.199664,0.0111510416666667,0.0174735833333333,0.230708458333333,3.42459240907244e-11,1.03058070007562e-12,2.58821040024422e-10,8.3459632940966e-17,6.78333718389188e-13,2.62930484071849e-18,8.29592915550154e-07,4.83504405742884e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929779,constant,linear,density,1,6.37365475
5,160,128,0,0.355054458333333,0.0112590833333333,0.017731875,0.386488875,3.42462799828976e-11,1.03058070007562e-12,2.58815942880588e-10,8.3459632940966e-17,6.78333718389188e-13,2.62930484071849e-18,8.29592915550154e-07,4.83512876072356e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929779,constant,linear,density,1,6.37365475
20,160,32,0,0.160850625,0.01638375,0.0234516666666667,0.203136875,3.46448264719091e-11,1.03540128068631e-12,2.65795531600945e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83523463984197e-17,-2.27373675443232e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712173,constant,linear,displacement,2,14.0758960416667
10,160,64,0,0.317758,0.0186235833333333,0.024704375,0.364210083333333,3.46416696593591e-11,1.03543904421475e-12,2.65749124575918e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83514993654724e-17,-3.41060513164848e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712176,constant,linear,displacement,2,14.0758960416667
5,160,128,0,0.620110083333333,0.017076,0.02206775,0.662465416666667,3.4642060349021e-11,1.03655802196211e-12,2.65751618145669e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83514993654724e-17,-3.41060513164848e-13,-6.41193764749914e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712176,constant,linear,displacement,2,14.0758960416667
20,160,32,0,0.167844125,0.0185630416666667,0.023606875,0.212814125,3.46448259906044e-11,1.03540128068631e-12,2.65795532413453e-10,8.34605222499179e-17,6.85477878102049e-13,2.61212787326102e-18,8.29592915550153e-07,4.83523463984197e-17,-2.27373675443232e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712178,constant,linear,density,2,14.07251225
