time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
327,0.831612988991903,1000,5223.91581793666,36380.3587670878,-999.809635581854,-0.180072884152549,constant,mixed,displacement,1,20
367,0.831613020370731,1000,5223.915434855,36380.3554108048,-999.809654394977,-0.180055287434367,constant,mixed,displacement,1,20
407,0.831613040776672,1000,5223.91519486229,36380.3533048951,-999.809666110792,-0.180044251066982,constant,mixed,displacement,1,20
447,0.831613048967466,1000,5223.91511196485,36380.3525719151,-999.809670038079,-0.180040400444917,constant,mixed,displacement,1,20
487,0.831613044486213,1000,5223.91519110974,36380.3532552364,-999.809665904032,-0.180043976883043,constant,mixed,displacement,1,20
327,0.831612988991903,1000,5223.91581793666,36380.3587670878,-999.809635581854,-0.180072884152549,constant,mixed,displacement,1,10
367,0.831613020370813,1000,5223.915434855,36380.3554108048,-999.809654394976,-0.180055287435582,constant,mixed,displacement,1,10
407,0.83161304077675,1000,5223.91519486229,36380.3533048949,-999.80966611079,-0.180044251068966,constant,mixed,displacement,1,10
447,0.831613048967489,1000,5223.91511196484,36380.3525719149,-999.809670038077,-0.180040400447181,constant,mixed,displacement,1,10
487,0.831613044486013,1000,5223.91519110974,36380.3532552362,-999.80966590403,-0.180043976885081,constant,mixed,displacement,1,10
327,0.831612988991903,1000,5223.91581793666,36380.3587670878,-999.809635581854,-0.180072884152549,constant,mixed,displacement,1,5
367,0.831613020370769,1000,5223.91543485499,36380.3554108048,-999.809654394976,-0.180055287435658,constant,mixed,displacement,1,5
407,0.831613040776535,1000,5223.91519486229,36380.3533048949,-999.80966611079,-0.18004425106909,constant,mixed,displacement,1,5
447,0.831613048967937,1000,5223.91511196485,36380.3525719149,-999.809670038076,-0.180040400447323,constant,mixed,displacement,1,5
487,0.831613044486156,1000,5223.91519110974,36380.3532552362,-999.809665904029,-0.180043976885209,constant,mixed,displacement,1,5
327,0.831612988991855,1000,5223.91581793666,36380.3587670878,-999.809635581854,-0.180072884152553,constant,mixed,density,1,20
367,0.831613020370682,1000,5223.915434855,36380.3554108048,-999.809654394977,-0.180055287434371,constant,mixed,density,1,20
407,0.831613040776623,1000,5223.91519486229,36380.3533048951,-999.809666110792,-0.180044251066987,constant,mixed,density,1,20
447,0.831613048967417,1000,5223.91511196485,36380.3525719151,-999.809670038079,-0.180040400444923,constant,mixed,density,1,20
487,0.831613044486165,1000,5223.91519110974,36380.3532552364,-999.809665904032,-0.180043976883048,constant,mixed,density,1,20
327,0.831612988991855,1000,5223.91581793666,36380.3587670878,-999.809635581854,-0.180072884152553,constant,mixed,density,1,10
367,0.831613020370765,1000,5223.915434855,36380.3554108048,-999.809654394976,-0.180055287435586,constant,mixed,density,1,10
407,0.831613040776703,1000,5223.91519486229,36380.3533048949,-999.80966611079,-0.180044251068971,constant,mixed,density,1,10
447,0.831613048967441,1000,5223.91511196484,36380.3525719149,-999.809670038077,-0.180040400447186,constant,mixed,density,1,10
487,0.831613044485965,1000,5223.91519110974,36380.3532552362,-999.80966590403,-0.180043976885086,constant,mixed,density,1,10
327,0.831612988991855,1000,5223.91581793666,36380.3587670878,-999.809635581854,-0.180072884152553,constant,mixed,density,1,5
367,0.831613020370721,1000,5223.91543485499,36380.3554108048,-999.809654394976,-0.180055287435662,constant,mixed,density,1,5
407,0.831613040776487,1000,5223.91519486229,36380.3533048949,-999.80966611079,-0.180044251069095,constant,mixed,density,1,5
447,0.831613048967888,1000,5223.91511196485,36380.3525719149,-999.809670038076,-0.180040400447328,constant,mixed,density,1,5
487,0.831613044486108,1000,5223.91519110974,36380.3532552362,-999.809665904029,-0.180043976885214,constant,mixed,density,1,5
327,0.831612988991896,1000,5223.91581793666,36380.3587670878,-999.809925790558,-0.180072884152549,constant,mixed,displacement,2,20
367,0.831613020370961,1000,5223.915434855,36380.3554108049,-999.809945133641,-0.180055282125067,constant,mixed,displacement,2,20
407,0.831613040776808,1000,5223.91519486229,36380.3533048951,-999.80995733705,-0.180044236940744,constant,mixed,displacement,2,20
447,0.831613048967918,1000,5223.91511196485,36380.3525719151,-999.809961697597,-0.180040396881278,constant,mixed,displacement,2,20
487,0.831613044486341,1000,5223.91519110974,36380.3532552364,-999.809957975438,-0.180043976886033,constant,mixed,displacement,2,20
327,0.831612988991896,1000,5223.91581793666,36380.3587670878,-999.809925790558,-0.180072884152549,constant,mixed,displacement,2,10
367,0.831613020370959,1000,5223.915434855,36380.3554108049,-999.80994513364,-0.180055282126283,constant,mixed,displacement,2,10
407,0.831613040776783,1000,5223.91519486228,36380.353304895,-999.809957337048,-0.18004423694273,constant,mixed,displacement,2,10
