deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
20,160,32,0,0.0806176666666667,0.00861716666666667,0.0139831666666667,0.104279625,8.66775474537334e-08,8.11265573273974e-07,2.17910076048328e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.5494310147175e-08,-2.27373675443232e-13,-0.000626826920779422,-0.00551185139192967,-999.809670038079,-0.180040400444917,constant,mixed,displacement,1,6.35868358333333
10,160,64,0,0.158548041666667,0.00859454166666667,0.013638875,0.181822291666667,8.66776938506037e-08,8.11265579357766e-07,2.18015106219432e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54941100849859e-08,0,-0.000626826923507906,-0.00551185154472478,-999.809670038077,-0.180040400447181,constant,mixed,displacement,1,6.35868358333333
5,160,128,0,0.315149375,0.00843183333333333,0.0136329166666667,0.338335458333333,8.66779317584158e-08,8.112655799243e-07,2.18017669809631e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54942529706892e-08,-1.13686837721616e-13,-0.000626826924417401,-0.00551185155927669,-999.809670038076,-0.180040400447323,constant,mixed,displacement,1,6.35868358333333
20,160,32,0,0.079368375,0.008571375,0.0133150833333333,0.1023145,8.66775473011937e-08,8.11265572637072e-07,2.17910076924187e-07,8.78702451915169e-14,6.77451470390761e-13,2.56054645916678e-15,0.831612988991855,5.54943098141081e-08,-2.27373675443232e-13,-0.000626826921688917,-0.00551185139920563,-999.809670038079,-0.180040400444923,constant,mixed,density,1,6.35883291666667
10,160,64,0,0.157114833333333,0.00825495833333333,0.0134357916666667,0.1798875,8.6677693698586e-08,8.11265577845333e-07,2.18015107099104e-07,8.78702451915169e-14,6.77451470390761e-13,2.56054645916678e-15,0.831612988991855,5.54941098629413e-08,0,-0.000626826923507906,-0.00551185154472478,-999.809670038077,-0.180040400447186,constant,mixed,density,1,6.35883291666667
5,160,128,0,0.313333875,0.0085535,0.0132327083333333,0.336156541666667,8.66779316054642e-08,8.1126557983379e-07,2.18017670664011e-07,8.78702451915169e-14,6.77451470390761e-13,2.56054645916678e-15,0.831612988991855,5.54942526376223e-08,-2.27373675443232e-13,-0.000626826924417401,-0.00551185155200073,-999.809670038076,-0.180040400447328,constant,mixed,density,1,6.35883291666667
20,160,32,0,0.145488666666667,0.0139354583333333,0.0193862083333333,0.179828916666667,8.69107293218513e-08,8.11265577014218e-07,2.31480022384738e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54944445951833e-08,-4.54747350886464e-13,-0.000626826922598411,-0.00551185144286137,-999.809961697597,-0.180040396881278,constant,mixed,displacement,2,14.0710515
10,160,64,0,0.292671916666667,0.0139566666666667,0.0199934583333333,0.327654,8.69100360460964e-08,8.11265575258794e-07,2.31537099704989e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54942749531051e-08,-1.13686837721616e-13,-0.00062682692805538,-0.00551185156655265,-999.809961697594,-0.180040396883542,constant,mixed,displacement,2,14.0710515
5,160,128,0,0.580154333333333,0.014045875,0.0194712916666667,0.614726208333333,8.69102367382061e-08,8.11265575008612e-07,2.31546631652327e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54942942709857e-08,-6.82121026329696e-13,-0.000626826929874369,-0.00551185158838052,-999.809961697594,-0.180040396883684,constant,mixed,displacement,2,14.0710515
20,160,32,0,0.14825725,0.01430875,0.019696625,0.183300791666667,8.69107291703628e-08,8.1126557407239e-07,2.31480023176766e-07,8.34563528070603e-14,6.87340883403853e-13,2.56781741598785e-15,0.831612988991847,5.54944458164286e-08,-4.54747350886464e-13,-0.000626826922598411,-0.00551185144286137,-999.809961697597,-0.180040396881282,constant,mixed,density,2,14.0712013333333
