time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
327,0.829593932884719,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,1,20
367,0.829593963119779,1000,5223.91542961727,36380.3558656675,-999.800019421469,-0.199981868302803,constant,waves,displacement,1,20
407,0.829593982258819,1000,5223.91518720962,36380.3537458459,-999.800031725533,-0.199970294039424,constant,waves,displacement,1,20
447,0.829593989075485,1000,5223.91510124542,36380.3529940293,-999.800036242485,-0.19996593172338,constant,waves,displacement,1,20
487,0.829593983132176,1000,5223.91517668142,36380.3536535626,-999.80003271355,-0.199969019828291,constant,waves,displacement,1,20
327,0.829593932884719,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,1,10
367,0.829593963119859,1000,5223.91542961726,36380.3558656674,-999.800019421467,-0.199981868304031,constant,waves,displacement,1,10
407,0.829593982258894,1000,5223.91518720962,36380.3537458458,-999.800031725531,-0.199970294041431,constant,waves,displacement,1,10
447,0.829593989075503,1000,5223.91510124542,36380.3529940292,-999.800036242483,-0.199965931725674,constant,waves,displacement,1,10
487,0.829593983131972,1000,5223.91517668141,36380.3536535625,-999.800032713547,-0.199969019830359,constant,waves,displacement,1,10
327,0.829593932884719,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,1,5
367,0.829593963119815,1000,5223.91542961726,36380.3558656674,-999.800019421467,-0.199981868304108,constant,waves,displacement,1,5
407,0.829593982258678,1000,5223.91518720962,36380.3537458458,-999.800031725531,-0.199970294041558,constant,waves,displacement,1,5
447,0.829593989075951,1000,5223.91510124542,36380.3529940292,-999.800036242483,-0.199965931725818,constant,waves,displacement,1,5
487,0.829593983132116,1000,5223.91517668141,36380.3536535624,-999.800032713547,-0.199969019830489,constant,waves,displacement,1,5
327,0.829593932884671,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999988,constant,waves,density,1,20
367,0.829593963119731,1000,5223.91542961727,36380.3558656675,-999.800019421469,-0.199981868302807,constant,waves,density,1,20
407,0.829593982258771,1000,5223.91518720962,36380.3537458459,-999.800031725533,-0.199970294039428,constant,waves,density,1,20
447,0.829593989075437,1000,5223.91510124542,36380.3529940293,-999.800036242485,-0.199965931723385,constant,waves,density,1,20
487,0.829593983132128,1000,5223.91517668142,36380.3536535626,-999.80003271355,-0.199969019828295,constant,waves,density,1,20
327,0.829593932884671,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999988,constant,waves,density,1,10
367,0.829593963119811,1000,5223.91542961726,36380.3558656674,-999.800019421467,-0.199981868304035,constant,waves,density,1,10
407,0.829593982258847,1000,5223.91518720962,36380.3537458458,-999.800031725531,-0.199970294041436,constant,waves,density,1,10
447,0.829593989075455,1000,5223.91510124542,36380.3529940292,-999.800036242483,-0.199965931725678,constant,waves,density,1,10
487,0.829593983131924,1000,5223.91517668141,36380.3536535625,-999.800032713547,-0.199969019830363,constant,waves,density,1,10
327,0.829593932884671,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999988,constant,waves,density,1,5
367,0.829593963119767,1000,5223.91542961726,36380.3558656674,-999.800019421467,-0.199981868304112,constant,waves,density,1,5
407,0.82959398225863,1000,5223.91518720962,36380.3537458458,-999.800031725531,-0.199970294041562,constant,waves,density,1,5
447,0.829593989075903,1000,5223.91510124542,36380.3529940292,-999.800036242483,-0.199965931725822,constant,waves,density,1,5
487,0.829593983132068,1000,5223.91517668141,36380.3536535624,-999.800032713547,-0.199969019830493,constant,waves,density,1,5
327,0.829593932884711,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,2,20
367,0.82959396312001,1000,5223.91542961727,36380.3558656675,-999.800019450243,-0.199981823147921,constant,waves,displacement,2,20
407,0.829593982258955,1000,5223.91518720962,36380.3537458459,-999.800031799603,-0.199970178499499,constant,waves,displacement,2,20
447,0.829593989075937,1000,5223.91510124542,36380.3529940293,-999.800036353291,-0.199965715632819,constant,waves,displacement,2,20
487,0.829593983132305,999.999999999999,5223.91517668142,36380.3536535625,-999.800032867934,-0.199968677893835,constant,waves,displacement,2,20
327,0.829593932884711,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,2,10
367,0.829593963120005,1000,5223.91542961727,36380.3558656674,-999.800019450241,-0.199981823149146,constant,waves,displacement,2,10
407,0.829593982258926,999.999999999999,5223.91518720962,36380.3537458458,-999.8000317996,-0.199970178501506,constant,waves,displacement,2,10
447,0.829593989075778,999.999999999999,5223.91510124542,36380.3529940292,-999.800036353288,-0.199965715635116,constant,waves,displacement,2,10
487,0.82959398313213,1000,5223.91517668142,36380.3536535624,-999.800032867932,-0.199968677895914,constant,waves,displacement,2,10
327,0.829593932884711,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,2,5
367,0.829593963119988,1000,5223.91542961727,36380.3558656675,-999.800019450241,-0.199981823149223,constant,waves,displacement,2,5
407,0.829593982258857,1000,5223.91518720962,36380.3537458458,-999.8000317996,-0.199970178501632,constant,waves,displacement,2,5
447,0.829593989075764,1000,5223.91510124542,36380.3529940292,-999.800036353288,-0.19996571563526,constant,waves,displacement,2,5
487,0.82959398313215,1000,5223.91517668141,36380.3536535624,-999.800032867932,-0.199968677896044,constant,waves,displacement,2,5
327,0.829593932884663,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999988,constant,waves,density,2,20
367,0.829593963119962,1000,5223.91542961727,36380.3558656675,-999.800019450243,-0.199981823147925,constant,waves,density,2,20
407,0.829593982258907,1000,5223.91518720962,36380.3537458459,-999.800031799603,-0.199970178499504,constant,waves,density,2,20
447,0.829593989075889,1000,5223.91510124542,36380.3529940293,-999.800036353291,-0.199965715632824,constant,waves,density,2,20
487,0.829593983132255,999.999999999999,5223.91517668142,36380.3536535625,-999.800032867934,-0.19996867789384,constant,waves,density,2,20
327,0.829593932884663,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999988,constant,waves,density,2,10
367,0.829593963119957,1000,5223.91542961726,36380.3558656674,-999.800019450241,-0.199981823149151,constant,waves,density,2,10
407,0.829593982258877,999.999999999999,5223.91518720962,36380.3537458458,-999.8000317996,-0.199970178501511,constant,waves,density,2,10
447,0.82959398907573,999.999999999999,5223.91510124542,36380.3529940292,-999.800036353288,-0.199965715635121,constant,waves,density,2,10
487,0.829593983132083,1000,5223.91517668142,36380.3536535624,-999.800032867932,-0.199968677895919,constant,waves,density,2,10
327,0.829593932884663,1000,5223.91581449145,36380.3592312714,-999.8,-0.199999999999988,constant,waves,density,2,5
367,0.82959396311994,1000,5223.91542961727,36380.3558656675,-999.800019450241,-0.199981823149227,constant,waves,density,2,5
407,0.829593982258809,1000,5223.91518720962,36380.3537458458,-999.8000317996,-0.199970178501636,constant,waves,density,2,5
447,0.829593989075715,1000,5223.91510124542,36380.3529940292,-999.800036353288,-0.199965715635265,constant,waves,density,2,5
487,0.829593983132102,1000,5223.91517668141,36380.3536535624,-999.800032867932,-0.199968677896049,constant,waves,density,2,5
327,0.82959416024071,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,3,20
367,0.829594190477431,1000,5223.9154296174,36380.3558656688,-999.800019450236,-0.199981823154366,constant,waves,displacement,3,20
407,0.829594209617203,999.999999999998,5223.91518721021,36380.353745851,-999.800031799574,-0.199970178525994,constant,waves,displacement,3,20
447,0.829594216434369,999.999999999999,5223.91510124673,36380.3529940407,-999.800036353226,-0.199965715692953,constant,waves,displacement,3,20
487,0.829594210490433,1000,5223.9151766837,36380.3536535826,-999.80003286782,-0.199968677999589,constant,waves,displacement,3,20
327,0.82959416024071,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,3,10
367,0.829594190477415,1000,5223.9154296174,36380.3558656688,-999.800019450234,-0.199981823155591,constant,waves,displacement,3,10
407,0.829594209617147,1000,5223.9151872102,36380.3537458508,-999.800031799572,-0.199970178528001,constant,waves,displacement,3,10
447,0.829594216434238,1000,5223.91510124672,36380.3529940406,-999.800036353224,-0.19996571569525,constant,waves,displacement,3,10
487,0.829594210490269,1000,5223.91517668369,36380.3536535825,-999.800032867818,-0.199968678001668,constant,waves,displacement,3,10
327,0.82959416024071,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,3,5
367,0.82959419047741,1000,5223.9154296174,36380.3558656687,-999.800019450234,-0.199981823155668,constant,waves,displacement,3,5
407,0.82959420961713,1000,5223.9151872102,36380.3537458508,-999.800031799572,-0.199970178528126,constant,waves,displacement,3,5
447,0.82959421643423,1000,5223.91510124672,36380.3529940406,-999.800036353223,-0.199965715695394,constant,waves,displacement,3,5
487,0.829594210490269,1000,5223.91517668369,36380.3536535825,-999.800032867817,-0.199968678001798,constant,waves,displacement,3,5
327,0.829594160240661,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999988,constant,waves,density,3,20
367,0.829594190477382,1000,5223.9154296174,36380.3558656688,-999.800019450236,-0.19998182315437,constant,waves,density,3,20
