deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
20,160,32,0,0.081749,0.00869954166666667,0.0135271666666667,0.10500125,8.77627586812001e-08,8.19180892515244e-07,2.1827796563037e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02474569730182e-08,-2.27373675443232e-13,-0.000637810033367714,-0.00557770879822783,-999.800036242485,-0.19996593172338,constant,waves,displacement,1,6.35925895833333
10,160,64,0,0.160028416666667,0.00872395833333333,0.0137370833333333,0.183729666666667,8.77629694114516e-08,8.19180892374773e-07,2.18382658424584e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02472532470932e-08,-3.41060513164848e-13,-0.000637810037005693,-0.00557770892919507,-999.800036242483,-0.199965931725674,constant,waves,displacement,1,6.35925895833333
5,160,128,0,0.317008708333333,0.008902625,0.0138099166666667,0.341161458333333,8.77632060960111e-08,8.19180892087285e-07,2.18385180062337e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02473964658634e-08,-2.27373675443232e-13,-0.000637810039734177,-0.0055777089582989,-999.800036242483,-0.199965931725818,constant,waves,displacement,1,6.35925895833333
20,160,32,0,0.080502875,0.00883520833333333,0.013866875,0.104396166666667,8.77627585142842e-08,8.19180893054325e-07,2.1827796647831e-07,8.78705389613961e-14,6.88390561677633e-13,2.61086533123103e-15,0.829593932884671,5.02474568619959e-08,-2.27373675443232e-13,-0.000637810031548725,-0.00557770879095187,-999.800036242485,-0.199965931723385,constant,waves,density,1,6.3592405
10,160,64,0,0.163620083333333,0.00929333333333333,0.0142754166666667,0.188668375,8.77629692436878e-08,8.19180892967015e-07,2.18382659272968e-07,8.78705389613961e-14,6.88390561677633e-13,2.61086533123103e-15,0.829593932884671,5.02472534691378e-08,-3.41060513164848e-13,-0.000637810037915187,-0.00557770893647103,-999.800036242483,-0.199965931725678,constant,waves,density,1,6.3592405
5,160,128,0,0.317271,0.008836625,0.0136181666666667,0.341010791666667,8.77632059285881e-08,8.19180892652302e-07,2.18385180935851e-07,8.78705389613961e-14,6.88390561677633e-13,2.61086533123103e-15,0.829593932884671,5.02473969099526e-08,-2.27373675443232e-13,-0.000637810039734177,-0.00557770896557486,-999.800036242483,-0.199965931725822,constant,waves,density,1,6.3592405
20,160,32,0,0.14883475,0.0142270416666667,0.019526625,0.183748708333333,8.79931342367603e-08,8.19180899234994e-07,2.31831971388574e-07,5.50092263048009e-17,6.95290836755866e-13,5.70949967033571e-17,0.829593932884711,5.02475936414726e-08,-7.95807864051312e-13,-0.000637810027001251,-0.00557770884915954,-999.800036353291,-0.199965715632819,constant,waves,displacement,2,14.0718466666667
10,160,64,0,0.29320725,0.0144444583333333,0.02055525,0.329351375,8.79925163599911e-08,8.19180906550475e-07,2.31888615223713e-07,5.50092263048009e-17,6.95290836755866e-13,5.70949967033571e-17,0.829593932884711,5.02474192254354e-08,3.41060513164848e-13,-0.000637810029729735,-0.00557770894374698,-999.800036353288,-0.199965715635116,constant,waves,displacement,2,14.0718466666667
5,160,128,0,0.598016916666667,0.0144315,0.0210229583333333,0.634578041666667,8.79927177536578e-08,8.1918090497805e-07,2.31898128098944e-07,5.50092263048009e-17,6.95290836755866e-13,5.70949967033571e-17,0.829593932884711,5.02474387653606e-08,-4.54747350886464e-13,-0.000637810036096198,-0.00557770895102294,-999.800036353288,-0.19996571563526,constant,waves,displacement,2,14.0718466666667
20,160,32,0,0.150529541666667,0.014273,0.0202713333333333,0.186113125,8.79931340699599e-08,8.19180901168527e-07,2.31831972174516e-07,8.3456411436995e-14,6.96197068908242e-13,2.55621766548352e-15,0.829593932884663,5.02475923092049e-08,-7.95807864051312e-13,-0.00063781002882024,-0.00557770884915954,-999.800036353291,-0.199965715632824,constant,waves,density,2,14.0715586666667
