time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
327,1.1734210341629e-06,1000,3324.88136819061,13336.6625431039,-999.9998,-0.000199999999999996,exponential,linear,displacement,1,20
367,1.17342103407979e-06,1000,3324.88136819023,13336.6625431019,-999.999800000033,-0.000199999956792145,exponential,linear,displacement,1,20
407,1.17342103402779e-06,1000,3324.88136818998,13336.6625431007,-999.999800000055,-0.000199999928859073,exponential,linear,displacement,1,20
447,1.17342103400994e-06,1000,3324.8813681899,13336.6625431003,-999.999800000062,-0.000199999917743609,exponential,linear,displacement,1,20
487,1.17342103402729e-06,1000,3324.88136818998,13336.6625431007,-999.999800000056,-0.000199999924002283,exponential,linear,displacement,1,20
327,1.1734210341629e-06,1000,3324.88136819061,13336.6625431039,-999.9998,-0.000199999999999996,exponential,linear,displacement,1,10
367,1.17342103407979e-06,999.999999999999,3324.88136819023,13336.6625431019,-999.999800000033,-0.000199999956792148,exponential,linear,displacement,1,10
407,1.17342103402779e-06,1000,3324.88136818998,13336.6625431007,-999.999800000055,-0.000199999928859078,exponential,linear,displacement,1,10
447,1.17342103400994e-06,1000,3324.8813681899,13336.6625431003,-999.999800000062,-0.000199999917743614,exponential,linear,displacement,1,10
487,1.17342103402729e-06,1000,3324.88136818998,13336.6625431007,-999.999800000056,-0.000199999924002288,exponential,linear,displacement,1,10
327,1.1734210341629e-06,1000,3324.88136819061,13336.6625431039,-999.9998,-0.000199999999999996,exponential,linear,displacement,1,5
367,1.17342103407979e-06,999.999999999999,3324.88136819023,13336.6625431019,-999.999800000033,-0.000199999956792148,exponential,linear,displacement,1,5
407,1.17342103402779e-06,1000,3324.88136818998,13336.6625431007,-999.999800000055,-0.000199999928859078,exponential,linear,displacement,1,5
447,1.17342103400994e-06,1000,3324.8813681899,13336.6625431003,-999.999800000062,-0.000199999917743615,exponential,linear,displacement,1,5
487,1.17342103402729e-06,1000,3324.88136818998,13336.6625431007,-999.999800000056,-0.000199999924002288,exponential,linear,displacement,1,5
327,1.17342104316805e-06,1000,3324.88136825474,13336.6625434425,-999.999799994416,-0.000200006439716109,exponential,linear,density,1,20
367,1.17342104308477e-06,1000,3324.88136825435,13336.6625434405,-999.99979999445,-0.000200006398477397,exponential,linear,density,1,20
407,1.17342104303265e-06,1000,3324.8813682541,13336.6625434393,-999.999799994471,-0.00020000637259782,exponential,linear,density,1,20
447,1.17342104301477e-06,1000,3324.88136825402,13336.6625434389,-999.999799994479,-0.000200006363546584,exponential,linear,density,1,20
487,1.17342104303215e-06,1000,3324.8813682541,13336.6625434393,-999.999799994473,-0.000200006371734736,exponential,linear,density,1,20
327,1.17342104316805e-06,1000,3324.88136825474,13336.6625434425,-999.999799994416,-0.000200006439716109,exponential,linear,density,1,10
367,1.17342104308477e-06,1000,3324.88136825435,13336.6625434405,-999.99979999445,-0.0002000063984774,exponential,linear,density,1,10
407,1.17342104303265e-06,1000,3324.8813682541,13336.6625434393,-999.999799994471,-0.000200006372597825,exponential,linear,density,1,10
447,1.17342104301476e-06,1000,3324.88136825402,13336.6625434389,-999.999799994479,-0.00020000636354659,exponential,linear,density,1,10
487,1.17342104303215e-06,1000,3324.8813682541,13336.6625434393,-999.999799994473,-0.000200006371734741,exponential,linear,density,1,10
327,1.17342104316805e-06,1000,3324.88136825474,13336.6625434425,-999.999799994416,-0.000200006439716109,exponential,linear,density,1,5
367,1.17342104308477e-06,1000,3324.88136825435,13336.6625434405,-999.99979999445,-0.0002000063984774,exponential,linear,density,1,5
407,1.17342104303265e-06,1000,3324.8813682541,13336.6625434393,-999.999799994471,-0.000200006372597825,exponential,linear,density,1,5
447,1.17342104301476e-06,1000,3324.88136825402,13336.6625434389,-999.999799994479,-0.00020000636354659,exponential,linear,density,1,5
487,1.17342104303215e-06,1000,3324.8813682541,13336.6625434393,-999.999799994473,-0.000200006371734741,exponential,linear,density,1,5
327,1.1734210341629e-06,999.999999999999,3324.88136819061,13336.6625431039,-999.9998,-0.000199999999999996,exponential,linear,displacement,2,20
367,1.1734210340798e-06,1000,3324.88136819022,13336.6625431019,-999.999800000034,-0.000199999956453149,exponential,linear,displacement,2,20
407,1.17342103402779e-06,1000,3324.88136818998,13336.6625431007,-999.999800000055,-0.000199999928058963,exponential,linear,displacement,2,20
447,1.17342103400994e-06,1000,3324.8813681899,13336.6625431003,-999.999800000063,-0.000199999916353962,exponential,linear,displacement,2,20
487,1.17342103402729e-06,999.999999999999,3324.88136818998,13336.6625431007,-999.999800000057,-0.000199999921910419,exponential,linear,displacement,2,20
327,1.1734210341629e-06,999.999999999999,3324.88136819061,13336.6625431039,-999.9998,-0.000199999999999996,exponential,linear,displacement,2,10
367,1.1734210340798e-06,1000,3324.88136819022,13336.6625431019,-999.999800000034,-0.000199999956453152,exponential,linear,displacement,2,10
407,1.17342103402779e-06,1000,3324.88136818998,13336.6625431007,-999.999800000055,-0.000199999928058968,exponential,linear,displacement,2,10
447,1.17342103400994e-06,1000,3324.8813681899,13336.6625431003,-999.999800000063,-0.000199999916353967,exponential,linear,displacement,2,10
487,1.17342103402729e-06,999.999999999999,3324.88136818998,13336.6625431007,-999.999800000057,-0.000199999921910424,exponential,linear,displacement,2,10
