deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
20,160,32,0,0.083711625,0.009768625,0.01468925,0.10930425,2.3901984176199e-11,1.11338706915125e-12,1.80651784004131e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35606163207151e-16,0,-6.35736796539277e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743609,exponential,linear,displacement,1,4.43301541666667
10,160,64,0,0.162845375,0.00987658333333333,0.0148675,0.188757208333333,2.3901754799241e-11,1.11338706915125e-12,1.80639524137725e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35606374965388e-16,0,-6.36191543890163e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743614,exponential,linear,displacement,1,4.43301541666667
5,160,128,0,0.314531541666667,0.00888241666666667,0.0146743333333333,0.339094541666667,2.39019920785016e-11,1.11338706915125e-12,1.80636074408324e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35605739690677e-16,0,-6.35736796539277e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743615,exponential,linear,displacement,1,4.43301541666667
20,160,32,0,0.0802168333333333,0.00852566666666667,0.01381125,0.103647666666667,2.61686802366442e-11,8.00684235314987e-11,1.80722629230365e-10,1.06638253399284e-11,8.00684235314987e-11,1.61751079256541e-13,1.17342104316805e-06,-1.35899660123374e-16,1.13686837721616e-13,-6.3664629124105e-10,-3.2050593290478e-09,-999.999799994479,-0.000200006363546584,exponential,linear,density,1,4.431002625
10,160,64,0,0.161061083333333,0.00843083333333333,0.0144134583333333,0.184974958333333,2.61684711945728e-11,8.00684235314987e-11,1.80710384712019e-10,1.06638253399284e-11,8.00684235314987e-11,1.61751079256541e-13,1.17342104316805e-06,-1.35901142431032e-16,1.13686837721616e-13,-6.37101038591936e-10,-3.2050593290478e-09,-999.999799994479,-0.00020000636354659,exponential,linear,density,1,4.431002625
5,160,128,0,0.316379875,0.00836954166666667,0.0136546666666667,0.339548166666667,2.61686879683743e-11,8.00684235314987e-11,1.80706935919183e-10,1.06638253399284e-11,8.00684235314987e-11,1.61751079256541e-13,1.17342104316805e-06,-1.35900295398085e-16,1.13686837721616e-13,-6.37101038591936e-10,-3.2050593290478e-09,-999.999799994479,-0.00020000636354659,exponential,linear,density,1,4.431002625
20,160,32,0,0.1525075,0.015271125,0.0206189583333333,0.189400208333333,2.41787916345586e-11,1.11195944164101e-12,1.85520508368009e-10,8.60203344698245e-19,7.14536191835973e-13,4.72339353961809e-20,1.1734210341629e-06,-1.35607433756572e-16,0,-6.3528204918839e-10,-3.20324033964425e-09,-999.999800000063,-0.000199999916353962,exponential,linear,displacement,2,13.06342425
10,160,64,0,0.30082525,0.016133875,0.0209144583333333,0.338916,2.41765953627697e-11,1.11192427692586e-12,1.854880052128e-10,8.60203344698245e-19,7.14536191835973e-13,4.72339353961809e-20,1.1734210341629e-06,-1.35607221998335e-16,1.13686837721616e-13,-6.35736796539277e-10,-3.20142135024071e-09,-999.999800000063,-0.000199999916353967,exponential,linear,displacement,2,13.06342425
5,160,128,0,0.6059195,0.016502625,0.0209478333333333,0.644426875,2.41768488719975e-11,1.1118959045837e-12,1.85489554829849e-10,8.60203344698245e-19,7.14536191835973e-13,4.72339353961809e-20,1.1734210341629e-06,-1.35607221998335e-16,1.13686837721616e-13,-6.35736796539277e-10,-3.20142135024071e-09,-999.999800000063,-0.000199999916353968,exponential,linear,displacement,2,13.06342425
20,160,32,0,0.156026083333333,0.0144089583333333,0.0203710416666667,0.19185075,2.6421733123081e-11,8.00698391294838e-11,1.85588648180777e-10,1.06638253398782e-11,8.00698391294838e-11,1.61751077722067e-13,1.17342104316805e-06,-1.35899024848664e-16,0,-6.3664629124105e-10,-3.25781002175063e-09,-999.99979999448,-0.000200006363497553,exponential,linear,density,2,13.063453875
