time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
327,1.17546558336376,1000,3324.87135028027,13335.1729280137,-999.809635581854,-0.180072884152549,exponential,mixed,displacement,1,20
367,1.17546560694449,1000,3324.87096170286,13335.1709675178,-999.809666993831,-0.180031138907331,exponential,mixed,displacement,1,20
407,1.17546562205027,1000,3324.87071974643,13335.1697453903,-999.80968622557,-0.180004510143365,exponential,mixed,displacement,1,20
447,1.17546562801878,1000,3324.87063876346,13335.1693339462,-999.809692073041,-0.1799945261177,exponential,mixed,displacement,1,20
487,1.17546562462299,1000,3324.87072366729,13335.16975796,-999.809684117482,-0.180001739060159,exponential,mixed,displacement,1,20
327,1.17546558336376,1000,3324.87135028027,13335.1729280137,-999.809635581854,-0.180072884152549,exponential,mixed,displacement,1,10
367,1.17546560694451,1000,3324.87096170286,13335.1709675178,-999.809666993829,-0.180031138910242,exponential,mixed,displacement,1,10
407,1.17546562205025,1000,3324.87071974644,13335.1697453903,-999.809686225566,-0.180004510148122,exponential,mixed,displacement,1,10
447,1.1754656280187,1000,3324.87063876347,13335.1693339462,-999.809692073037,-0.179994526123129,exponential,mixed,displacement,1,10
487,1.17546562462274,1000,3324.87072366729,13335.16975796,-999.809684117478,-0.180001739065048,exponential,mixed,displacement,1,10
327,1.17546558336376,1000,3324.87135028027,13335.1729280137,-999.809635581854,-0.180072884152549,exponential,mixed,displacement,1,5
367,1.17546560694447,1000,3324.87096170286,13335.1709675178,-999.809666993829,-0.180031138910424,exponential,mixed,displacement,1,5
407,1.1754656220501,1000,3324.87071974644,13335.1697453903,-999.809686225566,-0.180004510148419,exponential,mixed,displacement,1,5
447,1.17546562801901,1000,3324.87063876347,13335.1693339462,-999.809692073037,-0.179994526123468,exponential,mixed,displacement,1,5
487,1.17546562462284,1000,3324.8707236673,13335.16975796,-999.809684117478,-0.180001739065354,exponential,mixed,displacement,1,5
327,1.17547949535404,1000,3324.93540566039,13335.5112929095,-999.804057956753,-0.186505829481336,exponential,mixed,density,1,20
367,1.17547935913128,1000,3324.93501715396,13335.5093322277,-999.804090986597,-0.186465592887755,exponential,mixed,density,1,20
407,1.17547927500541,1000,3324.93477529445,13335.5081100993,-999.804111823596,-0.186440505408374,exponential,mixed,density,1,20
447,1.17547924780932,1000,3324.93469443654,13335.5076988558,-999.804119263805,-0.186432095759897,exponential,mixed,density,1,20
487,1.1754792791867,1000,3324.93477949408,13335.5081232766,-999.804112888376,-0.186440916144943,exponential,mixed,density,1,20
327,1.17547949535404,1000,3324.93540566039,13335.5112929095,-999.804057956753,-0.186505829481336,exponential,mixed,density,1,10
367,1.1754793591313,1000,3324.93501715396,13335.5093322277,-999.804090986594,-0.186465592890667,exponential,mixed,density,1,10
407,1.1754792750054,1000,3324.93477529446,13335.5081100993,-999.804111823593,-0.186440505413133,exponential,mixed,density,1,10
447,1.17547924780923,1000,3324.93469443654,13335.5076988558,-999.8041192638,-0.186432095765327,exponential,mixed,density,1,10
487,1.17547927918642,1000,3324.93477949409,13335.5081232765,-999.804112888372,-0.186440916149832,exponential,mixed,density,1,10
327,1.17547949535404,1000,3324.93540566039,13335.5112929095,-999.804057956753,-0.186505829481336,exponential,mixed,density,1,5
367,1.17547935913127,1000,3324.93501715396,13335.5093322277,-999.804090986594,-0.18646559289085,exponential,mixed,density,1,5
407,1.17547927500525,1000,3324.93477529446,13335.5081100993,-999.804111823592,-0.18644050541343,exponential,mixed,density,1,5
447,1.17547924780954,1000,3324.93469443654,13335.5076988558,-999.8041192638,-0.186432095765667,exponential,mixed,density,1,5
487,1.17547927918652,1000,3324.93477949409,13335.5081232765,-999.804112888372,-0.186440916150139,exponential,mixed,density,1,5
327,1.17546558336375,1000,3324.87135028027,13335.1729280137,-999.809925790558,-0.180072884152549,exponential,mixed,displacement,2,20
367,1.17546560694465,1000,3324.87096170286,13335.1709675178,-999.809958223766,-0.180031115901404,exponential,mixed,displacement,2,20
407,1.17546562205036,1000,3324.87071974643,13335.1697453903,-999.809978442911,-0.180004508188035,exponential,mixed,displacement,2,20
447,1.17546562801909,1000,3324.87063876347,13335.1693339462,-999.809985254093,-0.179994526125475,exponential,mixed,displacement,2,20
487,1.17546562462308,1000,3324.87072366729,13335.16975796,-999.809978252237,-0.180001739076494,exponential,mixed,displacement,2,20
327,1.17546558336375,1000,3324.87135028027,13335.1729280137,-999.809925790558,-0.180072884152549,exponential,mixed,displacement,2,10
367,1.17546560694461,999.999999999999,3324.87096170286,13335.1709675178,-999.809958223764,-0.180031115904316,exponential,mixed,displacement,2,10
407,1.17546562205027,1000,3324.87071974644,13335.1697453903,-999.809978442907,-0.180004508192793,exponential,mixed,displacement,2,10
447,1.17546562801888,1000,3324.87063876347,13335.1693339462,-999.809985254089,-0.179994526130906,exponential,mixed,displacement,2,10
487,1.17546562462285,999.999999999999,3324.8707236673,13335.16975796,-999.809978252233,-0.180001739081383,exponential,mixed,displacement,2,10
327,1.17546558336375,1000,3324.87135028027,13335.1729280137,-999.809925790558,-0.180072884152549,exponential,mixed,displacement,2,5
367,1.17546560694459,1000,3324.87096170287,13335.1709675178,-999.809958223764,-0.180031115904498,exponential,mixed,displacement,2,5
407,1.17546562205022,1000,3324.87071974644,13335.1697453903,-999.809978442907,-0.180004508193089,exponential,mixed,displacement,2,5
447,1.17546562801887,999.999999999999,3324.87063876347,13335.1693339462,-999.809985254088,-0.179994526131245,exponential,mixed,displacement,2,5
487,1.17546562462286,999.999999999999,3324.8707236673,13335.16975796,-999.809978252233,-0.180001739081689,exponential,mixed,displacement,2,5
327,1.17547949535403,999.999999999999,3324.9354056604,13335.5112929095,-999.804348162966,-0.186505829481336,exponential,mixed,density,2,20
367,1.17547935913144,1000,3324.93501715396,13335.5093322277,-999.804380881325,-0.186465568909225,exponential,mixed,density,2,20
407,1.17547927500551,1000,3324.93477529445,13335.5081100992,-999.804401363198,-0.186440501270307,exponential,mixed,density,2,20
447,1.17547924780963,1000,3324.93469443654,13335.5076988558,-999.804408416468,-0.186432095755768,exponential,mixed,density,2,20
487,1.17547927918678,1000,3324.93477949408,13335.5081232766,-999.804401633748,-0.186440916140624,exponential,mixed,density,2,20
327,1.17547949535403,999.999999999999,3324.9354056604,13335.5112929095,-999.804348162966,-0.186505829481336,exponential,mixed,density,2,10
367,1.1754793591314,1000,3324.93501715397,13335.5093322277,-999.804380881323,-0.186465568912139,exponential,mixed,density,2,10
407,1.17547927500542,1000,3324.93477529445,13335.5081100992,-999.804401363194,-0.186440501275067,exponential,mixed,density,2,10
447,1.17547924780941,1000,3324.93469443654,13335.5076988558,-999.804408416464,-0.1864320957612,exponential,mixed,density,2,10
487,1.17547927918653,1000,3324.93477949409,13335.5081232765,-999.804401633744,-0.186440916145513,exponential,mixed,density,2,10
327,1.17547949535403,999.999999999999,3324.9354056604,13335.5112929095,-999.804348162966,-0.186505829481336,exponential,mixed,density,2,5
367,1.17547935913139,1000,3324.93501715396,13335.5093322277,-999.804380881322,-0.186465568912321,exponential,mixed,density,2,5
407,1.17547927500537,1000,3324.93477529445,13335.5081100992,-999.804401363194,-0.186440501275364,exponential,mixed,density,2,5
447,1.1754792478094,1000,3324.93469443654,13335.5076988558,-999.804408416464,-0.186432095761539,exponential,mixed,density,2,5
487,1.17547927918654,1000,3324.93477949409,13335.5081232765,-999.804401633744,-0.186440916145819,exponential,mixed,density,2,5
327,1.17546574196234,1000,3324.87135028026,13335.1729280137,-999.809925790558,-0.180072884152549,exponential,mixed,displacement,3,20
367,1.17546576554423,999.999999999998,3324.87096170296,13335.1709675183,-999.809958223758,-0.18003111591165,exponential,mixed,displacement,3,20
407,1.17546578065054,1000,3324.87071974684,13335.1697453924,-999.809978442877,-0.180004508230392,exponential,mixed,displacement,3,20
447,1.17546578661938,1000,3324.87063876439,13335.1693339508,-999.809985254016,-0.17999452622192,exponential,mixed,displacement,3,20
487,1.17546578322314,999.999999999998,3324.87072366891,13335.1697579682,-999.809978252101,-0.180001739245907,exponential,mixed,displacement,3,20
327,1.17546574196234,1000,3324.87135028026,13335.1729280137,-999.809925790558,-0.180072884152549,exponential,mixed,displacement,3,10
367,1.17546576554419,1000,3324.87096170296,13335.1709675183,-999.809958223756,-0.180031115914563,exponential,mixed,displacement,3,10
407,1.17546578065042,1000,3324.87071974684,13335.1697453923,-999.809978442873,-0.180004508235149,exponential,mixed,displacement,3,10
447,1.17546578661919,999.999999999999,3324.87063876439,13335.1693339508,-999.809985254012,-0.179994526227351,exponential,mixed,displacement,3,10
487,1.17546578322293,1000,3324.87072366892,13335.1697579682,-999.809978252098,-0.180001739250796,exponential,mixed,displacement,3,10
327,1.17546574196234,1000,3324.87135028026,13335.1729280137,-999.809925790558,-0.180072884152549,exponential,mixed,displacement,3,5
367,1.17546576554418,999.999999999999,3324.87096170296,13335.1709675183,-999.809958223756,-0.180031115914745,exponential,mixed,displacement,3,5
407,1.17546578065041,1000,3324.87071974684,13335.1697453923,-999.809978442873,-0.180004508235446,exponential,mixed,displacement,3,5
447,1.17546578661918,1000,3324.87063876439,13335.1693339508,-999.809985254011,-0.17999452622769,exponential,mixed,displacement,3,5
487,1.17546578322292,1000,3324.87072366892,13335.1697579682,-999.809978252097,-0.180001739251102,exponential,mixed,displacement,3,5
327,1.1754796539527,1000,3324.93540566039,13335.5112929095,-999.804348162966,-0.186505829481337,exponential,mixed,density,3,20
367,1.17547951773113,999.999999999999,3324.93501715406,13335.5093322282,-999.804380881317,-0.186465568919488,exponential,mixed,density,3,20
407,1.1754794336059,999.999999999998,3324.93477529486,13335.5081101013,-999.804401363164,-0.18644050131274,exponential,mixed,density,3,20
447,1.17547940641035,999.999999999999,3324.93469443746,13335.5076988605,-999.804408416391,-0.1864320958524,exponential,mixed,density,3,20
487,1.17547943778756,1000,3324.93477949571,13335.5081232847,-999.804401633612,-0.186440916310364,exponential,mixed,density,3,20
327,1.1754796539527,1000,3324.93540566039,13335.5112929095,-999.804348162966,-0.186505829481337,exponential,mixed,density,3,10
367,1.17547951773109,1000,3324.93501715406,13335.5093322282,-999.804380881314,-0.186465568922402,exponential,mixed,density,3,10
407,1.17547943360579,999.999999999998,3324.93477529486,13335.5081101013,-999.80440136316,-0.1864405013175,exponential,mixed,density,3,10
447,1.17547940641015,1000,3324.93469443746,13335.5076988605,-999.804408416387,-0.186432095857832,exponential,mixed,density,3,10
487,1.17547943778732,1000,3324.93477949571,13335.5081232847,-999.804401633609,-0.186440916315253,exponential,mixed,density,3,10
327,1.1754796539527,1000,3324.93540566039,13335.5112929095,-999.804348162966,-0.186505829481337,exponential,mixed,density,3,5
367,1.17547951773108,1000,3324.93501715406,13335.5093322282,-999.804380881314,-0.186465568922584,exponential,mixed,density,3,5
