deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
20,160,32,0,0.082002,0.008912,0.0136635,0.105603541666667,3.91916333770039e-07,8.57745880774621e-07,1.39676582756918e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12592340293116e-08,-6.82121026329696e-13,-0.000626612976247998,-0.00317005370379775,-999.809692073041,-0.1799945261177,exponential,mixed,displacement,1,4.43099183333333
10,160,64,0,0.161010708333333,0.00827229166666667,0.01345625,0.1837935,3.91916374218217e-07,8.57745871447292e-07,1.39757641835579e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.1258988225934e-08,-7.95807864051312e-13,-0.000626612973519514,-0.00317005372198764,-999.809692073037,-0.179994526123129,exponential,mixed,displacement,1,4.43099183333333
5,160,128,0,0.319711125,0.00825679166666667,0.0132855416666667,0.342399791666667,3.91916396854154e-07,8.57745874802552e-07,1.39760561657367e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12590850373817e-08,-4.54747350886464e-13,-0.00062661297079103,-0.00317005372198764,-999.809692073037,-0.179994526123468,exponential,mixed,displacement,1,4.43099183333333
20,160,32,0,0.081206375,0.008469875,0.0132425416666667,0.10396375,1.0687059498785e-05,7.99970699892258e-05,2.25514792378751e-07,1.0687059498785e-05,7.99970699892258e-05,1.63073353707842e-07,1.17547949535404,-2.16167345357121e-07,2.27373675443232e-13,-0.000626166310212284,-0.0031696329551778,-999.804119263805,-0.186432095759897,exponential,mixed,density,1,4.431130125
10,160,64,0,0.161839375,0.00849433333333333,0.013431375,0.184877333333333,1.0687059498785e-05,7.99970699892258e-05,2.25748456099156e-07,1.0687059498785e-05,7.99970699892258e-05,1.63073353707842e-07,1.17547949535404,-2.16167620692431e-07,-1.13686837721616e-13,-0.000626166307029052,-0.00316963298610062,-999.8041192638,-0.186432095765327,exponential,mixed,density,1,4.431130125
5,160,128,0,0.322922583333333,0.00850416666666667,0.0135009166666667,0.346040875,1.0687059498785e-05,7.99970699892258e-05,2.25760770461234e-07,1.0687059498785e-05,7.99970699892258e-05,1.63073353707842e-07,1.17547949535404,-2.1616752321485e-07,1.13686837721616e-13,-0.000626166305210063,-0.00316963299155759,-999.8041192638,-0.186432095765667,exponential,mixed,density,1,4.431130125
20,160,32,0,0.153755375,0.01468625,0.020263375,0.189731416666667,3.9194864210364e-07,8.57745865920363e-07,1.50393459419133e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.12593312848486e-08,3.41060513164848e-13,-0.000626612979885977,-0.00317005372016865,-999.809985254093,-0.179994526125475,exponential,mixed,displacement,2,13.063971875
10,160,64,0,0.305934875,0.0143711666666667,0.0196364166666667,0.340909208333333,3.91948579597317e-07,8.57745870798007e-07,1.50433982401747e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.125910568753e-08,-5.6843418860808e-13,-0.000626612972610019,-0.00317005373835855,-999.809985254089,-0.179994526130906,exponential,mixed,displacement,2,13.063971875
5,160,128,0,0.616233416666667,0.01483625,0.020504375,0.652615166666667,3.91948600977237e-07,8.57745872206382e-07,1.50441774818868e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.12591139031804e-08,-6.82121026329696e-13,-0.000626612975338503,-0.00317005373472057,-999.809985254088,-0.179994526131245,exponential,mixed,displacement,2,13.063971875
20,160,32,0,0.155425166666667,0.0149438333333333,0.020118375,0.191488958333333,1.0687059498931e-05,7.99970700012593e-05,2.31616554075255e-07,1.0687059498931e-05,7.99970700012593e-05,1.63073353701322e-07,1.17547949535403,-2.16167248989763e-07,1.02318153949454e-12,-0.000626166312940768,-0.00316963296791073,-999.804408416468,-0.186432095755768,exponential,mixed,density,2,13.0631854166667
10,160,64,0,0.314222416666667,0.0149699166666667,0.0203188333333333,0.350541375,1.0687059498931e-05,7.99970700012593e-05,2.31825548807551e-07,1.0687059498931e-05,7.99970700012593e-05,1.63073353701322e-07,1.17547949535403,-2.1616750345288e-07,1.47792889038101e-12,-0.000626166309757537,-0.00316963298428163,-999.804408416464,-0.1864320957612,exponential,mixed,density,2,13.0631854166667
