time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
327,1.17345070129464,1000,3324.8712904864,13335.1731553432,-999.8,-0.199999999999997,exponential,waves,displacement,1,20
367,1.17345072393745,1000,3324.87089973745,13335.1711868375,-999.800033387971,-0.19995679186415,exponential,waves,displacement,1,20
407,1.17345073799941,1000,3324.87065523544,13335.1699550691,-999.80005458277,-0.199928860369101,exponential,waves,displacement,1,20
447,1.17345074281926,1000,3324.87057131873,13335.1695322708,-999.800062390272,-0.199917748306646,exponential,waves,displacement,1,20
487,1.17345073817542,1000,3324.87065290891,13335.1699432362,-999.800056406502,-0.199924012196206,exponential,waves,displacement,1,20
327,1.17345070129464,1000,3324.8712904864,13335.1731553432,-999.8,-0.199999999999997,exponential,waves,displacement,1,10
367,1.17345072393747,1000,3324.87089973745,13335.1711868375,-999.800033387968,-0.1999567918671,exponential,waves,displacement,1,10
407,1.17345073799938,1000,3324.87065523544,13335.1699550691,-999.800054582766,-0.19992886037392,exponential,waves,displacement,1,10
447,1.17345074281917,1000,3324.87057131873,13335.1695322708,-999.800062390268,-0.199917748312144,exponential,waves,displacement,1,10
487,1.17345073817517,1000,3324.87065290892,13335.1699432362,-999.800056406499,-0.199924012201151,exponential,waves,displacement,1,10
327,1.17345070129464,1000,3324.8712904864,13335.1731553432,-999.8,-0.199999999999997,exponential,waves,displacement,1,5
367,1.17345072393743,1000,3324.87089973745,13335.1711868375,-999.800033387968,-0.199956791867285,exponential,waves,displacement,1,5
407,1.17345073799923,1000,3324.87065523544,13335.1699550691,-999.800054582766,-0.199928860374222,exponential,waves,displacement,1,5
447,1.17345074281948,1000,3324.87057131873,13335.1695322708,-999.800062390267,-0.199917748312488,exponential,waves,displacement,1,5
487,1.17345073817527,1000,3324.87065290892,13335.1699432362,-999.800056406498,-0.199924012201461,exponential,waves,displacement,1,5
327,1.1734646603747,1000,3324.93541538228,13335.5117955569,-999.794417877824,-0.206441598262904,exponential,waves,density,1,20
367,1.17346452214942,1000,3324.9350245667,13335.5098265542,-999.79445132244,-0.206400286190657,exponential,waves,density,1,20
407,1.1734644358281,1000,3324.93478002132,13335.508594463,-999.794472569335,-0.206374335393912,exponential,waves,density,1,20
447,1.17346440624333,1000,3324.93469608671,13335.5081715329,-999.794480421345,-0.206365221341177,exponential,waves,density,1,20
487,1.17346443504788,1000,3324.93477768499,13335.508582562,-999.794474466206,-0.20637341762237,exponential,waves,density,1,20
327,1.1734646603747,1000,3324.93541538228,13335.5117955569,-999.794417877824,-0.206441598262904,exponential,waves,density,1,10
367,1.17346452214944,1000,3324.9350245667,13335.5098265541,-999.794451322437,-0.206400286193554,exponential,waves,density,1,10
407,1.17346443582808,1000,3324.93478002133,13335.508594463,-999.794472569331,-0.206374335398615,exponential,waves,density,1,10
