deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
20,160,32,0,0.0827483333333333,0.00853491666666667,0.0134620833333333,0.105822041666667,3.89483647740628e-07,8.6782065968119e-07,1.40097368761495e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.6880776876913e-08,6.82121026329696e-13,-0.000637577485576912,-0.003212106976207,-999.800062390272,-0.199917748306646,exponential,waves,displacement,1,4.43080641666667
10,160,64,0,0.161673,0.008398375,0.0135777083333333,0.184624583333333,3.89483697619305e-07,8.67820650612355e-07,1.4017790148655e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68805272987771e-08,2.27373675443232e-13,-0.000637577481029439,-0.00321210698530194,-999.800062390268,-0.199917748312144,exponential,waves,displacement,1,4.43080641666667
5,160,128,0,0.322165833333333,0.008447,0.0137064166666667,0.34547425,3.8948372076009e-07,8.67820655176989e-07,1.4018078229541e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68806243322695e-08,4.54747350886464e-13,-0.000637577481484186,-0.00321210698712093,-999.800062390267,-0.199917748312488,exponential,waves,displacement,1,4.43080641666667
20,160,32,0,0.0818055833333333,0.0083735,0.0136934583333333,0.104933333333333,1.06650559741678e-05,8.00670435889081e-05,2.23937248582973e-07,1.06650559741678e-05,8.00670435889081e-05,1.61406048046991e-07,1.1734646603747,-2.2532681409615e-07,-1.13686837721616e-13,-0.000637697290585493,-0.00321299492134131,-999.794480421345,-0.206365221341177,exponential,waves,density,1,4.43080229166667
10,160,64,0,0.162090375,0.00836608333333333,0.013727625,0.185324125,1.06650559741678e-05,8.00670435889081e-05,2.24170684782683e-07,1.06650559741678e-05,8.00670435889081e-05,1.61406048046991e-07,1.1734646603747,-2.25327094316441e-07,2.27373675443232e-13,-0.000637697286492767,-0.00321299491770333,-999.794480421341,-0.206365221346677,exponential,waves,density,1,4.43080229166667
5,160,128,0,0.325586708333333,0.00859733333333333,0.0136937083333333,0.349031583333333,1.06650559741678e-05,8.00670435889081e-05,2.24182967150997e-07,1.06650559741678e-05,8.00670435889081e-05,1.61406048046991e-07,1.1734646603747,-2.25326997504993e-07,-1.13686837721616e-13,-0.000637697287402261,-0.00321299491406535,-999.79448042134,-0.206365221347022,exponential,waves,density,1,4.43080229166667
20,160,32,0,0.156065291666667,0.0148794166666667,0.02076675,0.192891583333333,3.89516162329818e-07,8.67820654981774e-07,1.50786915843619e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68808743544946e-08,-1.59161572810262e-12,-0.000637577488305396,-0.00321210696529306,-999.800062971916,-0.199916367582638,exponential,waves,displacement,2,13.0631985833333
10,160,64,0,0.306968291666667,0.0149892083333333,0.0203430833333333,0.343279208333333,3.8951610858422e-07,8.67820629830809e-07,1.50826932477823e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68806463146854e-08,-1.25055521493778e-12,-0.000637577483757923,-0.00321210698166396,-999.800062971911,-0.199916367588153,exponential,waves,displacement,2,13.0631985833333
5,160,128,0,0.609395791666667,0.014506625,0.019926875,0.644906541666667,3.89516130573807e-07,8.67820633381471e-07,1.50834691895811e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68806531980681e-08,-7.95807864051312e-13,-0.000637577487395902,-0.0032121069925779,-999.800062971911,-0.199916367588497,exponential,waves,displacement,2,13.0631985833333
20,160,32,0,0.1562085,0.014387875,0.0202415,0.191924083333333,1.0665055974314e-05,8.00670435814528e-05,2.30093552784184e-07,1.0665055974314e-05,8.00670435814528e-05,1.6140604805795e-07,1.17346466037469,-2.25326719505148e-07,1.13686837721616e-13,-0.000637697288766503,-0.00321299489223748,-999.794481021008,-0.206365212860934,exponential,waves,density,2,13.0632694583333
10,160,64,0,0.310394541666667,0.0147043333333333,0.0203539166666667,0.346430375,1.0665055974314e-05,8.00670435814528e-05,2.30301966619338e-07,1.0665055974314e-05,8.00670435814528e-05,1.6140604805795e-07,1.17346466037469,-2.25326977520979e-07,0,-0.000637697287402261,-0.00321299492134131,-999.794481021003,-0.206365212866163,exponential,waves,density,2,13.0632694583333
5,160,128,0,0.622377,0.0146235833333333,0.019840125,0.657933375,1.0665055974314e-05,8.00670435814528e-05,2.30318439498743e-07,1.0665055974314e-05,8.00670435814528e-05,1.6140604805795e-07,1.17346466037469,-2.25326968639195e-07,-4.54747350886464e-13,-0.000637697285583272,-0.00321299492861726,-999.794481021003,-0.206365212866492,exponential,waves,density,2,13.0632694583333
