deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,variant,config,caseName
20,2000,400,0,1.01806041666667,0.08828625,0.135429208333333,1.25333808333333,4.63096663869038e-06,6.25596314356569e-06,1.3197410926766e-06,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,2.28565475435261e-08,-9.09494701772928e-13,0.00114388332622184,0.00552353313833009,-999.809692073041,-0.179973731799518,displacement,1,mixed
10,2000,800,0,2.04039641666667,0.09027775,0.135713333333333,2.27734420833333,4.63096662544408e-06,6.25596307992331e-06,1.31979434582138e-06,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,2.28502798904628e-08,-6.82121026329696e-13,0.0011438833162174,0.00552353313105414,-999.809692073037,-0.17997373180501,displacement,1,mixed
20,2000,400,0,1.04878516666667,0.0937599583333333,0.137921833333333,1.29129825,1.10030856953607e-05,8.59191553394328e-05,1.31788340940991e-06,1.0687059498785e-05,7.99970699892258e-05,1.63073353707842e-07,1.17547949535404,4.96144951345201e-07,3.41060513164848e-13,0.00115168419233669,0.00553807035430509,-999.804123692864,-0.186432095759897,density,1,mixed
10,2000,800,0,2.038118375,0.0874457083333334,0.136163291666667,2.27241133333333,1.10030856893804e-05,8.59191552900542e-05,1.31790238837486e-06,1.0687059498785e-05,7.99970699892258e-05,1.63073353707842e-07,1.17547949535404,4.96138392147571e-07,-2.27373675443232e-13,0.00115168418597023,0.00553807037613296,-999.804123692859,-0.186432095765327,density,1,mixed
20,2000,400,0,1.05351041666667,0.0900587916666667,0.137914333333333,1.287956,1.29871117565629e-07,4.55336716940772e-10,1.33057205452154e-06,3.31149441993414e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,-6.40192343581703e-10,-6.82121026329696e-13,7.22926870366791e-07,1.56833448272664e-06,-999.809635581854,-0.180072884152549,displacement,2,mixed
10,2000,800,0,2.07653720833333,0.0876626666666667,0.137215625,2.30725866666667,1.29870570458808e-07,4.55327382510228e-10,1.33066881060394e-06,3.31149441993414e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,-6.46451336905329e-10,-7.95807864051312e-13,7.22994172974722e-07,1.56874011736363e-06,-999.809635581854,-0.180072884152549,displacement,2,mixed
20,2000,400,0,1.063208,0.0914137916666667,0.139187625,1.29931041666667,5.17695491420747e-07,8.51281049941896e-07,1.39777763786991e-06,5.09437785403972e-07,8.49014478334277e-07,6.17423187473405e-09,1.17546557282044,1.17153464707087e-09,-5.6843418860808e-13,8.13896804174874e-07,1.645978045417e-06,-999.809649146867,-0.180057259924188,density,2,mixed
10,2000,800,0,2.13518429166667,0.088944875,0.137998375,2.36765016666667,5.17695360614565e-07,8.51281053811182e-07,1.39792378525633e-06,5.09437785403972e-07,8.49014478334277e-07,6.17423187473405e-09,1.17546557282044,1.16499054847452e-09,-7.95807864051312e-13,8.13955921330489e-07,1.64633456734009e-06,-999.809649146867,-0.180057259924188,density,2,mixed
20,2000,400,0,7.8646575,0.638778208333333,0.828820208333333,9.33849283333333,1.24539748347175e-10,6.97750691535464e-13,1.26538362420477e-09,0,0,0,1.17546575308498,-6.57470522469339e-10,2.72848410531878e-12,7.22924141882686e-07,1.56834357767366e-06,-999.809999601953,-0.180072884152549,displacement,3,mixed
10,2000,800,0,15.6321092916667,0.636718833333333,0.822385625,17.0975959166667,2.7433022474679e-11,2.99018088618301e-13,2.88034677416323e-10,0,0,0,1.17546575308498,-6.61083188191469e-10,3.86535248253495e-12,7.22989625501214e-07,1.56876194523647e-06,-999.809999601953,-0.180072884152549,displacement,3,mixed
20,2000,400,0,8.07127379166667,0.645607666666666,0.833608291666667,9.55719954166667,5.09431236180291e-07,8.5128087552252e-07,9.1946512215806e-08,5.09431236180291e-07,8.49014470003874e-07,6.17431687019651e-09,1.17546574254166,1.15420251134424e-09,-3.06954461848363e-12,8.1388952821726e-07,1.6459816833958e-06,-999.810013229785,-0.180057259924187,density,3,mixed
10,2000,800,0,16.1224685833333,0.645596666666667,0.834711541666667,17.6089924583333,5.09431236180291e-07,8.51280875361198e-07,9.19335753000602e-08,5.09431236180291e-07,8.49014470003874e-07,6.17431687019651e-09,1.17546574254166,1.15029918923426e-09,-2.1600499167107e-12,8.13957740319893e-07,1.64636367117055e-06,-999.810013229785,-0.180057259924187,density,3,mixed
