deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,variant,config,caseName
20,2000,400,0,1.23917354166667,0.121921,0.17164425,1.54525154166667,4.59803440606673e-06,6.08026325313058e-06,1.32195569501754e-06,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-4.97292815815342e-08,6.82121026329696e-13,0.000977252936536388,0.00490245014043467,-999.800082033498,-0.199878703181488,displacement,1,waves
10,2000,800,0,2.41993308333333,0.120053583333333,0.165915208333333,2.71761045833333,4.59803438990167e-06,6.08026320384789e-06,1.32200801980174e-06,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-4.9735672025264e-08,5.6843418860808e-13,0.000977252930169925,0.00490245016408153,-999.800082033494,-0.19987870318699,displacement,1,waves
20,2000,400,0,1.29800983333333,0.126639541666667,0.182262791666667,1.61892154166667,1.09601816263691e-05,8.5810422614668e-05,1.31312538890836e-06,1.06650559741678e-05,8.00670435889081e-05,1.61406048046991e-07,1.1734646603747,3.541296711429e-07,2.27373675443232e-13,0.00097494686679056,0.00488846017105971,-999.79449970909,-0.206351158700408,density,1,waves
10,2000,800,0,2.371679625,0.112159666666667,0.161071541666667,2.65614783333333,1.09601816192995e-05,8.58104225691464e-05,1.31314587711608e-06,1.06650559741678e-05,8.00670435889081e-05,1.61406048046991e-07,1.1734646603747,3.54122993373451e-07,1.13686837721616e-13,0.000974946861333592,0.00488846018743061,-999.794499709085,-0.206351158705691,density,1,waves
20,2000,400,0,1.02785345833333,0.0908861666666667,0.14009375,1.26990995833333,1.29869909898731e-07,4.46819340557745e-10,1.33055088458553e-06,3.31167679118137e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-1.84126469626733e-09,5.6843418860808e-13,-1.16468072519638e-07,3.38519384968095e-07,-999.800000261904,-0.19999795485748,displacement,2,waves
10,2000,800,0,2.04004879166667,0.089244625,0.140239625,2.28031675,1.29869256702177e-07,4.46807695571124e-10,1.33064833705221e-06,3.31167679118137e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-1.84764070709775e-09,2.27373675443232e-13,-1.16403498395812e-07,3.38901372742839e-07,-999.800000261904,-0.199997954857482,displacement,2,waves
20,2000,400,0,1.04198783333333,0.0932015,0.142611916666667,1.288634375,5.15061169937639e-07,8.46838684262126e-07,1.39785145124311e-06,5.06692477302649e-07,8.43945625520065e-07,6.11193044197847e-09,1.17345069123155,-2.18506102100946e-10,2.27373675443232e-13,-1.27343355416087e-07,3.04364220937714e-07,-999.800014894065,-0.199983492027655,density,2,waves
10,2000,800,0,2.07965958333333,0.092160625,0.141021791666667,2.32407879166667,5.15061011278627e-07,8.46838684728984e-07,1.39799982820541e-06,5.06692477302649e-07,8.43945625520065e-07,6.11193044197847e-09,1.17345069123155,-2.25170992962376e-10,0,-1.27280145534314e-07,3.04740751744248e-07,-999.800014894065,-0.199983492027685,density,2,waves
20,2000,400,0,7.602531375,0.659064333333333,0.819530583333334,9.09176095833333,1.24530958867471e-10,6.97546247286648e-13,1.26649353066314e-09,0,0,0,1.1734508710396,-1.858535547683e-09,-4.66116034658626e-12,-1.16470801003743e-07,3.38497557095252e-07,-999.800000321951,-0.199997452892371,displacement,3,waves
10,2000,800,0,15.12311425,0.654264333333333,0.830196541666667,16.618759,2.73973222761049e-11,2.97265455537831e-13,2.88045990421404e-10,0,0,0,1.1734508710396,-1.86206916552578e-09,1.70530256582424e-12,-1.16408045869321e-07,3.38886820827611e-07,-999.800000321951,-0.199997452892374,displacement,3,waves
20,2000,400,0,7.78248133333333,0.65799525,0.833451041666667,9.28475175,5.06685983572697e-07,8.46838520067555e-07,9.2035906666523e-08,5.06685983572697e-07,8.43945617347577e-07,6.11201515307451e-09,1.17345086097651,-2.35845121210332e-10,1.59161572810262e-12,-1.2734471965814e-07,3.04407876683399e-07,-999.800015143781,-0.199983352236632,density,3,waves
10,2000,800,0,15.6218940416667,0.660020916666667,0.834386333333333,17.1275080416667,5.06685983572697e-07,8.46838520224048e-07,9.20246365053547e-08,5.06685983572697e-07,8.43945617347577e-07,6.11201515307451e-09,1.17345086097651,-2.39666952950301e-10,5.6843418860808e-13,-1.27268322103191e-07,3.04768036585301e-07,-999.800015143781,-0.199983352236657,density,3,waves
