case,target,variant,referenceQualified,qualifyingRuns,config,deltaT,evolutionSeconds,withDiagnosticsSeconds,errorScore
constant-linear,1,displacement,True,15,1,20,0.118613666666667,0.133861666666667,3.4246198422756796e-08
constant-linear,1,density,True,15,1,20,0.117072083333333,0.131044833333333,3.42461979336027e-08
constant-linear,2,displacement,True,15,1,20,0.118613666666667,0.133861666666667,3.4246198422756796e-07
constant-linear,2,density,True,15,1,20,0.117072083333333,0.131044833333333,3.4246197933602696e-07
constant-linear,3,displacement,True,15,1,20,0.118613666666667,0.133861666666667,3.4246198422756796e-06
constant-linear,3,density,True,15,1,20,0.117072083333333,0.131044833333333,3.4246197933602693e-06
constant-mixed,1,displacement,True,15,1,20,0.0881497916666667,0.0981766666666667,0.000811265573273974
constant-mixed,1,density,True,15,1,20,0.0899539583333333,0.09956225,0.000811265572637072
constant-mixed,2,displacement,True,15,1,20,0.0881497916666667,0.0981766666666667,0.00811265573273974
constant-mixed,2,density,True,15,1,20,0.0899539583333333,0.09956225,0.00811265572637072
constant-mixed,3,displacement,True,15,1,20,0.0881497916666667,0.0981766666666667,0.08112655732739739
constant-mixed,3,density,True,15,1,20,0.0899539583333333,0.09956225,0.0811265572637072
constant-waves,1,displacement,True,15,1,20,0.0858685833333333,0.0947444166666667,0.000819180892515244
constant-waves,1,density,True,15,1,20,0.091101625,0.100629375,0.0008191808930543249
constant-waves,2,displacement,True,15,1,20,0.0858685833333333,0.0947444166666667,0.008191808925152439
constant-waves,2,density,True,15,1,20,0.091101625,0.100629375,0.008191808930543248
constant-waves,3,displacement,True,15,1,20,0.0858685833333333,0.0947444166666667,0.08191808925152438
constant-waves,3,density,True,15,1,20,0.091101625,0.100629375,0.08191808930543248
exponential-linear,1,displacement,True,15,1,20,0.0829536666666667,0.0920589166666667,2.3901984176199e-08
exponential-linear,1,density,True,15,1,20,0.0837947083333333,0.0927764583333333,8.00684235314987e-08
exponential-linear,2,displacement,True,15,1,20,0.0829536666666667,0.0920589166666667,2.3901984176199e-07
exponential-linear,2,density,True,15,1,20,0.0837947083333333,0.0927764583333333,8.00684235314987e-07
exponential-linear,3,displacement,True,15,1,20,0.0829536666666667,0.0920589166666667,2.3901984176199e-06
exponential-linear,3,density,True,15,1,20,0.0837947083333333,0.0927764583333333,8.00684235314987e-06
exponential-mixed,1,displacement,True,24,1,20,0.0845865,0.093877,0.000857745880774621
exponential-mixed,1,density,True,24,1,20,0.0818117916666667,0.0906779166666667,0.0799970699892258
exponential-mixed,2,displacement,True,24,1,20,0.0845865,0.093877,0.00857745880774621
exponential-mixed,2,density,True,24,1,20,0.0818117916666667,0.0906779166666667,0.799970699892258
exponential-mixed,3,displacement,True,24,1,20,0.0845865,0.093877,0.08577458807746209
exponential-mixed,3,density,True,12,6,20,0.0834464583333333,0.092565375,0.08490144783342769
exponential-waves,1,displacement,True,24,1,20,0.08135975,0.090433125,0.0008678206596811899
exponential-waves,1,density,True,24,1,20,0.0825305,0.0915633333333333,0.0800670435889081
exponential-waves,2,displacement,True,24,1,20,0.08135975,0.090433125,0.0086782065968119
exponential-waves,2,density,True,24,1,20,0.0825305,0.0915633333333333,0.8006704358890809
exponential-waves,3,displacement,True,24,1,20,0.08135975,0.090433125,0.086782065968119
exponential-waves,3,density,True,12,6,20,0.0853765416666667,0.0947305833333333,0.0843962916140653
