family,referenceMax,pulledError,nativeDifference,closureDifference,profile,amplitude,Nx,Nz,apvModes,waveModes,mdaModes
Ag_q,1.74058162626644e-12,2.87959998420713e-26,2.87443387367439e-26,1.17490490205353e-26,constant,0.1,8,33,3,4,2
Ag_0,2.19155345475328e-10,3.85269305639098e-22,3.85276769551637e-22,8.53666212864299e-26,constant,0.1,8,33,3,4,2
Aw_p,6.93792006051459e-07,9.30892702408083e-22,1.17813860953756e-21,7.35917637566742e-21,constant,0.1,8,33,3,4,2
Aw_m,3.49219127945685e-07,9.30892701296663e-22,9.40420336445498e-22,7.1218701153244e-21,constant,0.1,8,33,3,4,2
Aio,5.77016251606788e-07,0,0,1.49735685222986e-22,constant,0.1,8,33,3,4,2
Amda,1.18492142893871e-07,2.24993126614424e-22,2.64697796016969e-22,0,constant,0.1,8,33,3,4,2
Ag_q,1.74056833942609e-14,2.46554055817905e-28,2.48785268763259e-28,1.15263331887901e-27,constant,0.01,8,33,3,4,2
Ag_0,2.19152828690158e-12,1.14907157777366e-23,1.14941620390807e-23,3.06986556546676e-25,constant,0.01,8,33,3,4,2
Aw_p,6.93757168237481e-09,1.03188970956779e-22,8.39560667083164e-23,1.46462564580858e-21,constant,0.01,8,33,3,4,2
Aw_m,3.49194672669168e-09,1.03188970935994e-22,8.5148486709102e-23,1.4595427534487e-21,constant,0.01,8,33,3,4,2
Aio,5.77016243867466e-09,0,0,9.35043442369544e-23,constant,0.01,8,33,3,4,2
Amda,1.18488532486771e-09,8.14772903364732e-23,7.13443278326986e-23,0,constant,0.01,8,33,3,4,2
Ag_q,1.74058162626659e-12,1.862351614502e-25,1.86304403341969e-25,8.58645407355287e-27,constant,0.1,16,65,3,4,2
Ag_0,2.19155345478249e-10,3.82874332361725e-21,3.82874332361725e-21,1.29246970711411e-26,constant,0.1,16,65,3,4,2
Aw_p,6.93793711504908e-07,4.84863625450682e-22,4.6151965374494e-22,1.47584795379393e-21,constant,0.1,16,65,3,4,2
Aw_m,3.49220830588016e-07,4.84863625450683e-22,4.5172857871929e-22,1.47162698692343e-21,constant,0.1,16,65,3,4,2
Aio,5.77016251606788e-07,0,0,8.07931487539356e-23,constant,0.1,16,65,3,4,2
Amda,1.18492142893866e-07,6.52480067181828e-21,6.53803556161913e-21,0,constant,0.1,16,65,3,4,2
Ag_q,1.74056833942624e-14,1.83735383274513e-27,1.83908450830136e-27,5.31694792815601e-27,constant,0.01,16,65,3,4,2
Ag_0,2.19152828693067e-12,3.75394975180566e-23,3.75402442405728e-23,1.13116122973496e-26,constant,0.01,16,65,3,4,2
Aw_p,6.93774222621073e-09,6.26532563308951e-23,5.78511618223403e-23,3.00688374356963e-21,constant,0.01,16,65,3,4,2
Aw_m,3.49211698759539e-09,6.26532563308951e-23,4.95885718453513e-23,3.02895430302328e-21,constant,0.01,16,65,3,4,2
Aio,5.77016243867466e-09,0,0,1.09601431163276e-23,constant,0.01,16,65,3,4,2
Amda,1.18488532486764e-09,1.51787642403481e-22,1.53855593934863e-22,0,constant,0.01,16,65,3,4,2
Ag_q,1.74058162626659e-12,1.96338078556455e-25,1.96072867031415e-25,2.92768599028753e-26,constant,0.1,16,65,6,8,4
Ag_0,2.19155345478249e-10,3.82874332361725e-21,3.82874332361725e-21,4.6354297656542e-25,constant,0.1,16,65,6,8,4
Aw_p,6.93793711504908e-07,1.0412532867082e-21,1.13844321730379e-21,2.83611496444779e-20,constant,0.1,16,65,6,8,4
Aw_m,3.49220830588016e-07,1.04125328666428e-21,9.81917882555491e-22,2.83434119915403e-20,constant,0.1,16,65,6,8,4
Aio,5.77016251606788e-07,0,0,1.32348898008484e-22,constant,0.1,16,65,6,8,4
Amda,1.26189949028916e-07,6.56450534122083e-21,6.55127045141998e-21,0,constant,0.1,16,65,6,8,4
Ag_q,1.74056833942624e-14,1.91022017446196e-27,1.89861386916002e-27,2.6408881838038e-27,constant,0.01,16,65,6,8,4
Ag_0,2.19152828693067e-12,3.75394975180566e-23,3.75402442405728e-23,2.23130698037521e-27,constant,0.01,16,65,6,8,4
Aw_p,6.93774222621073e-09,9.55988742859717e-23,1.06574739063408e-22,6.42118309725294e-22,constant,0.01,16,65,6,8,4
Aw_m,3.49211698759539e-09,9.55988742859717e-23,9.78651759573824e-23,6.47387503117751e-22,constant,0.01,16,65,6,8,4
Aio,5.77016243867466e-09,0,0,4.96308367531817e-24,constant,0.01,16,65,6,8,4
Amda,1.26186050067825e-09,1.51580847250342e-22,1.53648798781725e-22,0,constant,0.01,16,65,6,8,4
Ag_q,3.89886827476795e-12,2.36252310948416e-20,4.58408676674636e-13,4.15881030519449e-17,exponential,0.1,8,33,3,4,2
Ag_0,1.35977452447899e-09,1.84098401581765e-18,8.06110020328481e-11,1.38109980442299e-14,exponential,0.1,8,33,3,4,2
Aw_p,1.85236885043238e-06,1.91693146355235e-14,9.88289441788649e-08,6.97367777809047e-11,exponential,0.1,8,33,3,4,2
Aw_m,1.15728823573473e-06,1.916931463553e-14,6.34106873121703e-07,6.9736777780908e-11,exponential,0.1,8,33,3,4,2
Aio,1.77391477909699e-06,0,0,2.44854368995274e-12,exponential,0.1,8,33,3,4,2
Amda,1.42633491608431e-07,5.55865371635635e-22,2.04024151918324e-11,0,exponential,0.1,8,33,3,4,2
