inversePressureError,hDifference,scalarPullbackError,pressureDifference,pressureBaselineError,etaBaselineError,conversionProjectionError,surfacePressureDifference,profile,amplitude,Nx,Nz,apvModes,waveModes,mdaModes
1.0705802395306e-14,8.88178419700125e-16,6.50521303491303e-19,1.0705802395306e-14,1.47792889038101e-11,7.90478793533111e-14,1.77635683940025e-15,9.74944020337626e-16,constant,0.1,8,33,3,4,2
7.33000387776887e-15,5.55111512312578e-17,5.42101086242752e-20,7.33000387776887e-15,1.49213974509621e-12,7.88258347483861e-15,1.11022302462516e-16,5.99659764410261e-17,constant,0.01,8,33,3,4,2
4.69116024039803e-15,8.88178419700125e-16,4.77048955893622e-18,4.69116024039803e-15,1.68256519827992e-11,7.94919685631612e-14,1.77635683940025e-15,6.06377515587506e-16,constant,0.1,16,65,3,4,2
7.31758629658759e-15,5.55111512312578e-17,5.42101086242752e-20,7.31758629658759e-15,1.64845914696343e-12,8.24340595784179e-15,1.11022302462516e-16,5.48638937062698e-17,constant,0.01,16,65,3,4,2
1.14072129514153e-13,8.88178419700125e-16,4.77048955893622e-18,1.14072129514153e-13,1.9554136088118e-11,1.30373489781732e-12,1.77635683940025e-15,3.51991402862667e-16,constant,0.1,16,65,6,8,4
2.96874060672376e-16,5.55111512312578e-17,5.42101086242752e-20,2.96874060672376e-16,1.98951966012828e-12,1.30354060878801e-13,1.11022302462516e-16,2.60256806709193e-17,constant,0.01,16,65,6,8,4
2.3151725539437e-13,0.0420997113586523,5.18571947535906e-13,0.527178232949187,4.27462509833276e-11,2.65121258280487e-13,0.0227498444350758,0.00226017262784464,exponential,0.1,8,33,3,4,2
1.4401708378951e-14,0.000419563319253968,5.14996031930615e-18,0.00527057167538196,4.32009983342141e-12,2.65898414397725e-14,0.000227491511681888,2.27712399391412e-05,exponential,0.01,8,33,3,4,2
1.2145845810523e-13,0.0462606888421719,4.11996825544492e-18,0.630966840553028,4.45652403868735e-11,2.88657986402541e-13,0.0228288770721361,0.00267658267607281,exponential,0.1,16,65,3,4,2
1.43245465531181e-14,0.000460955562742837,8.13151629364128e-20,0.00630954036449456,4.49063009000383e-12,2.87547763377916e-14,0.000228282170160687,2.69638181106808e-05,exponential,0.01,16,65,3,4,2
2.54004736819533e-13,0.0462606888421719,4.11996825544492e-18,1.22867812150176,4.50199877377599e-11,1.00630614952024e-12,0.00510159341698541,0.000318559185517644,exponential,0.1,16,65,6,8,4
1.49167690172823e-14,0.000460955562742837,8.13151629364128e-20,0.012251083977826,4.54747350886464e-12,1.00697228333502e-13,5.10109782004275e-05,3.18924324346992e-06,exponential,0.01,16,65,6,8,4
