eRateError,hRateError,dRateError,rhoEError,rhoHError,rhoDError,physicalDensityError,densityReconstructionError,labelInverseError,buoyancyError,pressureConversionError,wrongPressureSplitError,workError,productionError,hMinusEta,dMinusEta,dRateRms,hRateRms,Nx,Nz
2.2951259716323e-10,2.29512597186947e-10,9.1438946829056e-07,1.0880550206954e-12,1.08805502064246e-12,9.53412603973993e-09,6.7762635780344e-21,2.27373675443232e-13,6.82121026329696e-13,1.6154612370034e-17,0,1.21976741699473,0,2.1930166926555e-06,0.310872551917313,5.18923010635223,1.03283601787042e-07,8.45409157688826e-11,4,129
1.29528278294128e-17,1.29562159612018e-17,7.65903792182541e-07,6.15025329045427e-20,6.14628282351402e-20,7.97297544536897e-09,7.19978005166155e-21,2.27373675443232e-13,7.95807864051312e-13,1.75640751942652e-17,3.63797880709171e-12,1.2632508548777,0,5.97562708270623e-11,0.310872551917313,5.27564437372148,6.87550305929268e-08,3.96410064626053e-18,8,129
1.12485975395371e-18,1.19262238973405e-18,4.94269711359013e-07,5.29395592033938e-21,5.18807680193259e-21,5.13459831422164e-09,9.3173624197973e-21,2.27373675443232e-13,9.09494701772928e-13,1.90277481271206e-17,3.63797880709171e-12,1.27428036100173,0,1.00079666776054e-13,0.310872551917313,5.29732632196977,4.38603426293754e-08,2.61543435250646e-19,16,129
1.38913403349705e-18,1.46367293285543e-18,3.62392355420701e-07,5.61159327555974e-21,5.55865371635635e-21,3.76462310853384e-09,7.83505476210228e-21,2.27373675443232e-13,6.82121026329696e-13,1.87566975839992e-17,3.63797880709171e-12,1.27704771296703,0,8.26422263955351e-14,0.310872551917313,5.30275171532075,2.76443981762516e-08,3.28445824117289e-19,32,129
3.06706990606087e-18,3.06095207825043e-18,6.28995948011593e-07,1.00585162486448e-20,1.00320464690431e-20,6.53416841067097e-09,1.43995601033231e-20,2.27373675443232e-13,7.95807864051312e-13,1.90819582357449e-17,3.63797880709171e-12,1.27774017536285,0,1.60225999135122e-13,0.310872551917313,5.30410837041807,3.06027881984483e-08,5.27251117800834e-19,64,129
2.05128527553701e-12,2.05128524843196e-12,4.54383148617318e-07,9.93134886293292e-15,9.93134865117469e-15,3.78991484998376e-09,1.57759886426113e-20,2.27373675443232e-13,6.82121026329696e-13,1.23599047663348e-17,0,1.27791332999914,0,1.03318285965913e-06,0.310872551917313,5.30444755336669,1.23540866430455e-07,4.98355413579091e-13,128,5
5.42736360953193e-18,5.45150404852868e-18,4.6969697361089e-07,1.52548648567029e-20,1.53210393057072e-20,4.62852753274698e-09,1.79994501291539e-20,2.27373675443232e-13,6.82121026329696e-13,1.61004022614097e-17,0,1.27791332999914,0,5.23509408837265e-10,0.310872551917313,5.30444755336669,1.41284589753949e-07,8.55082570374062e-19,128,9
5.67088558186754e-18,5.62768690155757e-18,4.70746566103779e-07,1.83435572639759e-20,1.83700270435776e-20,4.84644073019336e-09,2.42992576743577e-20,2.27373675443232e-13,7.95807864051312e-13,1.81061762805079e-17,0,1.27791332999914,0,1.86656246015104e-15,0.310872551917313,5.30444755336669,1.50747231612991e-07,9.775462489275e-19,128,17
5.66072118650049e-18,5.61752250619052e-18,6.27164418611111e-07,1.83964968231793e-20,1.83700270435776e-20,6.52871360715664e-09,3.00696696275277e-20,2.27373675443232e-13,7.95807864051312e-13,1.81061762805079e-17,3.63797880709171e-12,1.27791332999914,0,8.1601392309949e-15,0.310872551917313,5.30444755336669,8.93216130848514e-08,9.86089470493945e-19,128,33
5.66580338418401e-18,5.62429876976855e-18,5.99771300483984e-07,1.83832619333785e-20,1.83700270435776e-20,6.24355421712761e-09,3.01755487459344e-20,2.27373675443232e-13,7.95807864051312e-13,1.81061762805079e-17,3.63797880709171e-12,1.27791332999914,0,2.7595981055839e-14,0.310872551917313,5.30444755336669,4.41611830665884e-08,9.87786733950812e-19,128,65
5.71747239396653e-18,5.68189701018185e-18,6.07245519394003e-07,1.86744295089972e-20,1.86744295089972e-20,6.30821947722952e-09,2.98579113907141e-20,2.27373675443232e-13,7.95807864051312e-13,2.09793120375945e-17,3.63797880709171e-12,1.27791332999914,0,1.5411283360578e-13,0.310872551917313,5.30444755336669,2.61123746011641e-08,1.0146711437044e-18,128,129
