profile,caseName,variant,config,deltaT,evolutionMedian,withDiagnosticsMedian,withDiagnosticsMinimum,withDiagnosticsMaximum,trials
constant,linear,displacement,1,20,0.118613666666667,0.133861666666667,0.105661,0.295127166666667,5
constant,linear,density,1,20,0.117072083333333,0.131044833333333,0.108733791666667,0.186158666666667,5
constant,waves,displacement,1,20,0.0858685833333333,0.0947444166666667,0.093141625,0.102877791666667,5
constant,waves,density,1,20,0.091101625,0.100629375,0.0939475833333333,0.10557625,5
constant,mixed,displacement,1,20,0.0881497916666667,0.0981766666666667,0.0911660416666667,0.121269625,5
constant,mixed,density,1,20,0.0899539583333333,0.09956225,0.0927468333333333,0.109696416666667,5
exponential,linear,displacement,1,20,0.0829536666666667,0.0920589166666667,0.089781875,0.120228208333333,5
exponential,linear,density,1,20,0.0837947083333333,0.0927764583333333,0.0919437916666667,0.118955208333333,5
exponential,waves,displacement,1,20,0.08135975,0.090433125,0.0892229166666667,0.0908410833333333,5
exponential,waves,density,1,20,0.0825305,0.0915633333333333,0.0909871666666667,0.092149875,5
exponential,waves,density,6,20,0.0853765416666667,0.0947305833333333,0.0933383333333333,0.0954847916666667,5
exponential,mixed,displacement,1,20,0.0845865,0.093877,0.0903705833333333,0.098173875,5
exponential,mixed,density,1,20,0.0818117916666667,0.0906779166666667,0.089837,0.0976640416666667,5
exponential,mixed,density,6,20,0.0834464583333333,0.092565375,0.0918363333333333,0.0937856666666667,5
