caseName,policy,absoluteScale,relativeTolerance,error,boundaryError,pvError,velocityError,displacementError,rhs,runtime,acceptedSteps,rejectedSteps,wavePhaseError,energyChange,boundaryVarianceChange,potentialEnstrophyChange
boundary,energy,0.1,1e-09,0.00197544481944451,0.00197544481944451,0,0.00124526608786888,0.00124526608992401,64,0.428549958333333,4,1,0,1.51122566144797e-08,3.96408231994725e-06,NaN
boundary,energy,0.01,1e-09,0.000181927372402247,0.000181927372402247,0,0.000114552309505501,0.000114552309695042,64,0.465235083333333,4,1,0,-1.12748957093412e-08,1.12045553482118e-07,NaN
boundary,energy,0.001,1e-09,0.000255653295082929,0.000255653295082929,0,0.000160968673076387,0.000160968673342726,52,0.394702583333333,4,0,0,-1.71669200218706e-08,1.70863329437964e-07,NaN
boundary,energy,0.0001,1e-09,9.54469391589559e-06,9.54469391589559e-06,0,6.00793816735848e-06,6.00793817726882e-06,65,1.03010125,5,0,0,-2.18306090065817e-10,3.61463745879097e-09,NaN
boundary,invariant,0.1,1e-09,0.000195800674480842,0.000195800674480842,0,0.000123284926270398,0.000123284926474393,64,0.79055325,4,1,0,-1.23765858876961e-08,1.22611053037319e-07,NaN
boundary,invariant,0.01,1e-09,6.80357228869725e-05,6.80357228869725e-05,0,4.29147279012203e-05,4.2914727972194e-05,64,0.807970875,4,1,0,-2.15632101653867e-09,3.33703054050565e-08,NaN
boundary,invariant,0.001,1e-09,5.33522768802544e-05,5.33522768802544e-05,0,3.3678169523406e-05,3.36781695791099e-05,52,0.492839916666667,4,0,0,1.53714114427105e-10,2.42241430839673e-08,NaN
boundary,invariant,0.0001,1e-09,9.24493629459939e-07,9.24493629459939e-07,0,5.8108209293777e-07,5.81082093890142e-07,65,0.736099083333333,5,0,0,-8.893179880221e-11,1.25384856879275e-10,NaN
boundary,energy-practical,1e-06,0.001,1.92660948995741e-08,1.92660948995741e-08,0,1.22036133750173e-08,1.22036133985965e-08,78,0.811958333333333,6,0,0,-2.5208746245384e-12,2.00919710874392e-11,NaN
mixedQG,energy,0.1,1e-09,0.00108028424203568,0.00108028424203568,1.61698973257931e-06,0.000459942920154245,0.000679106294249664,64,0.390634125,4,1,0,-8.6955984809505e-05,9.64038084442113e-07,7.68827953089045e-11
mixedQG,energy,0.01,1e-09,0.000310313917962841,0.000310313917962841,5.0674027479454e-07,0.000131930175460699,0.000194798999199681,64,0.344101708333333,4,1,0,-8.69597301522143e-05,1.60147085825848e-07,1.12209172752012e-11
mixedQG,energy,0.001,1e-09,0.000343259482891449,0.000343259482891449,5.49945783629102e-07,0.000146000602066715,0.000215573212388768,52,0.374304541666667,4,0,0,-8.69596825630692e-05,1.89865319483204e-07,1.47151950920098e-11
mixedQG,energy,0.0001,1e-09,8.6243136940417e-06,8.6243136940417e-06,1.37417165968336e-08,3.67530537143406e-06,5.42666868130247e-06,65,0.479215458333333,5,0,0,-8.6961470577649e-05,3.56387725010955e-09,5.26959501194887e-13
mixedQG,invariant,0.1,1e-09,0.000437539979435482,0.000437539979435482,6.81994881780372e-07,0.000186210202461653,0.000274941657194975,64,0.411126875,4,1,0,-8.69599790372877e-05,2.61842582956409e-07,2.2981563667943e-11
mixedQG,invariant,0.01,1e-09,0.000316377659893191,0.000316377659893191,5.16528289570904e-07,0.00013444353732182,0.000198510732178204,64,0.399490625,4,1,0,-8.69643906855438e-05,8.09607014207576e-08,4.18622076118859e-12
mixedQG,invariant,0.001,1e-09,3.75303929404221e-05,3.75303929404221e-05,5.92401840831251e-08,1.59845214117773e-05,2.36014356187725e-05,65,0.412722666666667,5,0,0,-8.69613671774029e-05,1.81414801057513e-08,1.66924424869618e-12
mixedQG,invariant,0.0001,1e-09,1.15765188600932e-06,1.15765188600932e-06,1.88778757027589e-09,4.94286761856603e-07,7.29826341136996e-07,65,0.420466208333333,5,0,0,-8.69614486778077e-05,3.51676968631959e-10,1.35357933263307e-13
mixedQG,energy-practical,1e-06,0.001,1.59850666848345e-08,1.59850666848345e-08,2.93693298707102e-11,6.77444398645505e-09,1.00027517835016e-08,91,0.603653541666667,7,0,0,-8.69614349846977e-05,2.76169555829358e-11,8.1725544611808e-15
boussinesq,energy,0.1,1e-09,5.93416756843845e-08,2.80014029120718e-12,6.92059222611932e-09,5.93416756843845e-08,2.15837622451386e-09,39,0.148433791666667,3,0,0.000615456872442439,-9.926881619711e-09,NaN,NaN
boussinesq,energy,0.01,1e-09,5.93416756843845e-08,2.80014029120718e-12,6.92059222611932e-09,5.93416756843845e-08,2.15837622451386e-09,39,0.148796208333333,3,0,0.000615456872442439,-9.926881619711e-09,NaN,NaN
boussinesq,energy,0.001,1e-09,6.54643331040274e-09,6.21716397327704e-13,1.7313081513721e-09,6.54643331040274e-09,1.05449254612629e-09,52,0.192922208333333,4,0,4.09876525445373e-05,-1.01589630034799e-08,NaN,NaN
boussinesq,energy,0.0001,1e-09,9.84209532311571e-09,1.83904662389741e-12,6.51398598711305e-09,9.84209532311571e-09,2.57849489386069e-09,52,0.18928125,4,0,0.000109825628895809,-1.07213039218218e-08,NaN,NaN
boussinesq,invariant,0.1,1e-09,5.93416756843845e-08,2.80014029120718e-12,6.92059222611932e-09,5.93416756843845e-08,2.15837622451386e-09,39,0.145937625,3,0,0.000615456872442439,-9.926881619711e-09,NaN,NaN
boussinesq,invariant,0.01,1e-09,5.93416756843845e-08,2.80014029120718e-12,6.92059222611932e-09,5.93416756843845e-08,2.15837622451386e-09,39,0.143561791666667,3,0,0.000615456872442439,-9.926881619711e-09,NaN,NaN
boussinesq,invariant,0.001,1e-09,6.54643331040274e-09,6.21716397327704e-13,1.7313081513721e-09,6.54643331040274e-09,1.05449254612629e-09,52,0.194429958333333,4,0,4.09876525445373e-05,-1.01589630034799e-08,NaN,NaN
boussinesq,invariant,0.0001,1e-09,9.84209532311571e-09,1.83904662389741e-12,6.51398598711305e-09,9.84209532311571e-09,2.57849489386069e-09,52,0.189909,4,0,0.000109825628895809,-1.07213039218218e-08,NaN,NaN
boussinesq,energy-practical,1e-06,0.001,1.78024840230522e-09,1.28947756757875e-13,2.40215121725104e-10,1.78024840230522e-09,1.93825547869435e-10,104,0.375937125,8,0,1.87825804812527e-05,-1.19227226335352e-08,NaN,NaN
