waveAmplitude,waveEnergyFraction,policy,absoluteScale,relativeTolerance,maximumError,boundaryError,pvError,velocityError,displacementError,rhs,acceptedSteps,rejectedSteps,runtime,referenceError
1,1,energy,0.01,1e-09,1.80658764276647e-08,7.48722003772638e-13,2.33624910946914e-09,1.80658764276647e-08,1.20878043765617e-09,52,4,0,0.2056565,4.87371449121595e-12
1,1,energy,0.001,1e-09,1.20186301850012e-08,1.14173518585147e-12,3.91147822355097e-09,1.20186301850012e-08,1.56242015323091e-09,52,4,0,0.292574958333333,4.87371449121595e-12
1,1,energy,0.0001,1e-09,1.28417615460082e-08,9.68722928288219e-13,2.51675717250852e-09,1.28417615460082e-08,1.41707053953854e-09,52,4,0,0.224956125,4.87371449121595e-12
1,1,invariant,0.01,1e-09,1.80658764276647e-08,7.48722003772638e-13,2.33624910946914e-09,1.80658764276647e-08,1.20878043765617e-09,52,4,0,0.242042125,4.87371449121595e-12
1,1,invariant,0.001,1e-09,1.20186301850012e-08,1.14173518585147e-12,3.91147822355097e-09,1.20186301850012e-08,1.56242015323091e-09,52,4,0,0.238935583333333,4.87371449121595e-12
1,1,invariant,0.0001,1e-09,1.28417615460082e-08,9.68722928288219e-13,2.51675717250852e-09,1.28417615460082e-08,1.41707053953854e-09,52,4,0,0.230531875,4.87371449121595e-12
0.1,0.01,energy,0.01,1e-09,2.1949170449889e-09,2.39480091199426e-14,1.23872862946268e-11,2.1949170449889e-09,3.6317012163895e-10,39,3,0,0.138148583333333,1.44923341501777e-11
0.1,0.01,energy,0.001,1e-09,8.58381431207922e-10,1.26440108605114e-14,4.13325714606876e-12,8.58381431207922e-10,1.24217726381333e-10,52,4,0,0.190740916666667,1.44923341501777e-11
0.1,0.01,energy,0.0001,1e-09,7.48955249941909e-10,1.35905041717822e-14,6.24629170416097e-12,7.48955249941909e-10,1.96600436419419e-10,52,4,0,0.19232125,1.44923341501777e-11
0.1,0.01,invariant,0.01,1e-09,2.1949170449889e-09,2.39480091199426e-14,1.23872862946268e-11,2.1949170449889e-09,3.6317012163895e-10,39,3,0,0.140504416666667,1.44923341501777e-11
0.1,0.01,invariant,0.001,1e-09,8.58381431207922e-10,1.26440108605114e-14,4.13325714606876e-12,8.58381431207922e-10,1.24217726381333e-10,52,4,0,0.183358833333333,1.44923341501777e-11
0.1,0.01,invariant,0.0001,1e-09,7.48955249941909e-10,1.35905041717822e-14,6.24629170416097e-12,7.48955249941909e-10,1.96600436419419e-10,52,4,0,0.186718416666667,1.44923341501777e-11
0.01,0.0001,energy,0.01,1e-09,3.13784921883973e-10,1.2288684161541e-15,1.6532844353098e-13,3.13784921883973e-10,6.3814556720693e-12,39,3,0,0.144669458333333,1.5181439100967e-12
0.01,0.0001,energy,0.001,1e-09,3.13784921883973e-10,1.2288684161541e-15,1.6532844353098e-13,3.13784921883973e-10,6.3814556720693e-12,39,3,0,0.150382666666667,1.5181439100967e-12
0.01,0.0001,energy,0.0001,1e-09,3.13784921883973e-10,1.2288684161541e-15,1.6532844353098e-13,3.13784921883973e-10,6.3814556720693e-12,39,3,0,0.146529041666667,1.5181439100967e-12
0.01,0.0001,invariant,0.01,1e-09,3.13784921883973e-10,1.2288684161541e-15,1.6532844353098e-13,3.13784921883973e-10,6.3814556720693e-12,39,3,0,0.14467975,1.5181439100967e-12
0.01,0.0001,invariant,0.001,1e-09,3.13784921883973e-10,1.2288684161541e-15,1.6532844353098e-13,3.13784921883973e-10,6.3814556720693e-12,39,3,0,0.140969083333333,1.5181439100967e-12
0.01,0.0001,invariant,0.0001,1e-09,3.13784921883973e-10,1.2288684161541e-15,1.6532844353098e-13,3.13784921883973e-10,6.3814556720693e-12,39,3,0,0.140037541666667,1.5181439100967e-12
0,0,energy,0.01,1e-09,3.94694264349185e-14,1.56764492413473e-16,3.94694264349185e-14,1.8679118737113e-16,2.37521637649288e-16,39,3,0,0.14667825,3.94694252234853e-14
0,0,energy,0.001,1e-09,3.94694264349185e-14,1.56764492413473e-16,3.94694264349185e-14,1.8679118737113e-16,2.37521637649288e-16,39,3,0,0.145607,3.94694252234853e-14
0,0,energy,0.0001,1e-09,3.94694264349185e-14,1.56764492413473e-16,3.94694264349185e-14,1.8679118737113e-16,2.37521637649288e-16,39,3,0,0.147134,3.94694252234853e-14
0,0,invariant,0.01,1e-09,3.94694264349185e-14,1.56764492413473e-16,3.94694264349185e-14,1.8679118737113e-16,2.37521637649288e-16,39,3,0,0.143906791666667,3.94694252234853e-14
0,0,invariant,0.001,1e-09,3.94694264349185e-14,1.56764492413473e-16,3.94694264349185e-14,1.8679118737113e-16,2.37521637649288e-16,39,3,0,0.155091958333333,3.94694252234853e-14
0,0,invariant,0.0001,1e-09,3.94694264349185e-14,1.56764492413473e-16,3.94694264349185e-14,1.8679118737113e-16,2.37521637649288e-16,39,3,0,0.144184833333333,3.94694252234853e-14
